"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.BE.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.BE.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Belgium,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:11,
2009-09,9215,
2009-10,9323,
2009-11,9430,
2009-12,9535,
2010-01,9996,
2010-02,10036,
2010-03,10117,
2010-04,10459,
2010-05,10670,
2010-06,10757,
2010-07,11086,
2010-08,11726,
2010-09,11814,
2010-10,12423,
2010-11,11962,
2010-12,11183,
2011-01,10725,
2011-02,10898,
2011-03,10914,
2011-04,10775,
2011-05,10884,
2011-06,10779,
2011-07,10597,
2011-08,10905,
2011-09,11046,
2011-10,10523,
2011-11,10001,
2011-12,10778,
2012-01,10593,
2012-02,11358,
2012-03,11754,
2012-04,12134,
2012-05,12747,
2012-06,12710,
2012-07,13283,
2012-08,13183,
2012-09,13550,
2012-10,13780,
2012-11,14432,
2012-12,15289,
2013-01,14945,
2013-02,15145,
2013-03,14960,
2013-04,15258,
2013-05,15374,
2013-06,14929,
2013-07,15328,
2013-08,15340,
2013-09,15902,
2013-10,16258,
2013-11,16218,
2013-12,16509,
2014-01,17258,
2014-02,17465,
2014-03,18248,
2014-04,18300,
2014-05,18828,
2014-06,18871,
2014-07,19052,
2014-08,19393,
2014-09,19085,
2014-10,19201,
2014-11,19445,
