"",BBK01.OEAJ04U,BBK01.OEAJ04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:22,
2002-01,1.109,
2002-04,0.991,
2002-07,0.999,
2002-10,1.029,
2003-01,0.970,
2003-04,0.876,
2003-07,0.929,
2003-10,0.931,
2004-01,0.896,
2004-04,0.752,
2004-07,0.777,
2004-10,0.799,
2005-01,0.702,
2005-04,0.707,
2005-07,0.739,
2005-10,0.816,
2006-01,0.815,
2006-04,0.812,
2006-07,0.894,
2006-10,0.957,
2007-01,1.079,
2007-04,1.108,
2007-07,1.247,
2007-10,1.315,
2008-01,1.428,
2008-04,1.489,
2008-07,1.597,
2008-10,1.366,
2009-01,1.155,
2009-04,1.118,
2009-07,0.909,
2009-10,0.812,
2010-01,0.821,
2010-04,0.800,
2010-07,0.768,
2010-10,0.833,
2011-01,0.943,
2011-04,1.011,
2011-07,1.010,
2011-10,1.247,
2012-01,1.466,
2012-04,1.354,
2012-07,1.314,
2012-10,1.208,
2013-01,1.072,
2013-04,1.103,
2013-07,1.107,
2013-10,1.019,
2014-01,1.201,
2014-04,1.201,
2014-07,0.937,
