"",BBK01.OEYB18N,BBK01.OEYB18N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:32,
2002-01,0.259,
2002-04,0.219,
2002-07,0.219,
2002-10,0.246,
2003-01,0.192,
2003-04,0.206,
2003-07,0.196,
2003-10,0.206,
2004-01,0.161,
2004-04,0.163,
2004-07,0.145,
2004-10,0.200,
2005-01,0.200,
2005-04,0.184,
2005-07,0.118,
2005-10,1.274,
2006-01,1.170,
2006-04,1.129,
2006-07,1.343,
2006-10,1.424,
2007-01,1.195,
2007-04,1.169,
2007-07,1.188,
2007-10,1.257,
2008-01,1.211,
2008-04,1.176,
2008-07,1.138,
2008-10,1.334,
2009-01,1.267,
2009-04,1.214,
2009-07,1.014,
2009-10,0.947,
2010-01,0.886,
2010-04,0.861,
2010-07,0.842,
2010-10,0.856,
2011-01,0.801,
2011-04,0.805,
2011-07,0.787,
2011-10,0.796,
2012-01,0.930,
2012-04,0.908,
2012-07,0.832,
2012-10,0.701,
2013-01,0.608,
2013-04,0.532,
2013-07,0.472,
2013-10,0.429,
2014-01,0.410,
2014-04,0.222,
2014-07,0.209,
