"",BBK01.TQ7003,BBK01.TQ7003_FLAGS
"",Deposit takers - Nonperforming loans net of provisions to capital       FSI-I003,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:21,
2005-10,34.97,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,28.66,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,21.58,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,25.33,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,36.85,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,34.20,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,31.63,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,27.41,
2013-01,.,No value available
2013-04,.,No value available
2013-07,.,No value available
2013-10,23.83,
