"",BBFN1.M.DE.N.1.L.O1.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.O1.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Countries in Oceania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:25,
1995-01,0.261,
1995-02,0.266,
1995-03,0.239,
1995-04,0.228,
1995-05,0.212,
1995-06,0.219,
1995-07,0.227,
1995-08,0.237,
1995-09,0.239,
1995-10,0.227,
1995-11,0.236,
1995-12,0.248,
1996-01,0.258,
1996-02,0.281,
1996-03,0.278,
1996-04,0.252,
1996-05,0.283,
1996-06,0.270,
1996-07,0.279,
1996-08,0.284,
1996-09,0.269,
1996-10,0.284,
1996-11,0.313,
1996-12,0.352,
1997-01,0.328,
1997-02,0.332,
1997-03,0.354,
1997-04,0.345,
1997-05,0.333,
1997-06,0.334,
1997-07,0.312,
1997-08,0.344,
1997-09,0.329,
1997-10,0.324,
1997-11,0.331,
1997-12,0.371,
1998-01,0.329,
1998-02,0.318,
1998-03,0.414,
1998-04,0.420,
1998-05,0.398,
1998-06,0.439,
1998-07,0.440,
1998-08,0.449,
1998-09,0.439,
1998-10,0.435,
1998-11,0.449,
1998-12,0.419,
1999-01,0.390,
1999-02,0.397,
1999-03,0.411,
1999-04,0.393,
1999-05,0.365,
1999-06,0.398,
1999-07,0.399,
1999-08,0.397,
1999-09,0.301,
1999-10,0.264,
1999-11,0.329,
1999-12,0.323,
2000-01,0.321,
2000-02,0.287,
2000-03,0.249,
2000-04,0.335,
2000-05,0.341,
2000-06,0.339,
2000-07,0.343,
2000-08,0.452,
2000-09,0.485,
2000-10,0.533,
2000-11,0.565,
2000-12,0.496,
2001-01,0.490,
2001-02,0.526,
2001-03,0.475,
2001-04,0.470,
2001-05,0.488,
2001-06,0.478,
2001-07,0.498,
2001-08,0.522,
2001-09,0.501,
2001-10,0.536,
2001-11,0.515,
2001-12,0.578,
2002-01,0.526,
2002-02,0.520,
2002-03,0.537,
2002-04,0.521,
2002-05,0.550,
2002-06,0.542,
2002-07,0.536,
2002-08,0.529,
2002-09,0.553,
2002-10,0.699,
2002-11,0.558,
2002-12,0.573,
2003-01,0.577,
2003-02,0.615,
2003-03,0.590,
2003-04,0.602,
2003-05,0.624,
2003-06,0.543,
2003-07,0.654,
2003-08,0.646,
2003-09,0.454,
2003-10,0.505,
2003-11,0.550,
2003-12,0.549,
2004-01,0.528,
2004-02,0.521,
2004-03,0.516,
2004-04,0.578,
2004-05,0.582,
2004-06,0.586,
2004-07,0.603,
2004-08,0.598,
2004-09,0.608,
2004-10,0.640,
2004-11,0.714,
2004-12,0.781,
2005-01,0.708,
2005-02,0.645,
2005-03,0.674,
2005-04,0.681,
2005-05,0.689,
2005-06,0.659,
2005-07,0.663,
2005-08,0.721,
2005-09,0.741,
2005-10,0.741,
2005-11,0.727,
2005-12,0.874,
2006-01,0.859,
2006-02,0.901,
2006-03,0.861,
2006-04,0.875,
2006-05,0.782,
2006-06,0.804,
2006-07,0.824,
2006-08,0.836,
2006-09,0.845,
2006-10,0.883,
2006-11,0.890,
2006-12,0.867,
2007-01,0.791,
2007-02,0.761,
2007-03,0.755,
2007-04,0.778,
2007-05,0.816,
2007-06,0.830,
2007-07,0.903,
2007-08,0.895,
2007-09,0.959,
2007-10,0.928,
2007-11,0.943,
2007-12,0.976,
2008-01,0.993,
2008-02,0.943,
2008-03,0.901,
2008-04,0.977,
2008-05,0.975,
2008-06,0.951,
2008-07,0.907,
2008-08,0.896,
2008-09,0.764,
2008-10,0.789,
2008-11,0.789,
2008-12,0.787,
2009-01,0.761,
2009-02,0.734,
2009-03,0.714,
2009-04,0.707,
2009-05,0.664,
2009-06,0.668,
2009-07,0.708,
2009-08,0.731,
2009-09,0.834,
2009-10,0.873,
2009-11,0.885,
2009-12,0.903,
2010-01,0.804,
2010-02,0.867,
2010-03,0.895,
2010-04,0.889,
2010-05,1.035,
2010-06,1.037,
2010-07,1.012,
2010-08,1.010,
2010-09,0.979,
2010-10,1.039,
2010-11,0.922,
2010-12,0.967,
2011-01,0.809,
2011-02,0.839,
2011-03,1.002,
2011-04,0.891,
2011-05,0.925,
2011-06,0.866,
2011-07,0.863,
2011-08,0.878,
2011-09,0.959,
2011-10,0.943,
2011-11,0.943,
2011-12,0.915,
2012-01,0.845,
2012-02,0.910,
2012-03,0.865,
2012-04,0.894,
2012-05,0.863,
2012-06,0.921,
2012-07,0.907,
2012-08,0.926,
2012-09,0.939,
2012-10,0.851,
2012-11,0.864,
2012-12,0.886,
2013-01,0.906,
2013-02,0.827,
2013-03,0.850,
2013-04,0.919,
2013-05,0.813,
2013-06,0.936,
2013-07,0.810,
2013-08,0.835,
2013-09,0.735,
2013-10,0.775,
2013-11,0.766,
2013-12,0.798,
2014-01,0.786,
2014-02,0.720,
2014-03,0.758,
2014-04,0.727,
2014-05,0.691,
2014-06,0.730,
2014-07,0.745,
2014-08,0.710,
2014-09,0.858,
2014-10,0.805,
2014-11,0.798,
2014-12,1.040,
