"",BBSF2.M.1.S.00000.TOT01.I.F.INV.U2.00000.F05200.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.INV.U2.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Funds total / Investment fund shares / Euro area (changing composition) / All issuer sectors,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:50,
2009-09,61655,
2009-10,65352,
2009-11,68180,
2009-12,72675,
2010-01,73934,
2010-02,75505,
2010-03,79498,
2010-04,82500,
2010-05,83374,
2010-06,84144,
2010-07,86981,
2010-08,93602,
2010-09,95898,
2010-10,98507,
2010-11,101466,
2010-12,104190,
2011-01,104603,
2011-02,109454,
2011-03,108831,
2011-04,111799,
2011-05,112864,
2011-06,112368,
2011-07,113870,
2011-08,107807,
2011-09,107371,
2011-10,110331,
2011-11,112536,
2011-12,116317,
2012-01,121473,
2012-02,130831,
2012-03,131488,
2012-04,132445,
2012-05,132117,
2012-06,134945,
2012-07,148076,
2012-08,150112,
2012-09,152397,
2012-10,156777,
2012-11,159471,
2012-12,168838,
2013-01,172241,
2013-02,175093,
2013-03,179988,
2013-04,184979,
2013-05,183470,
2013-06,175257,
2013-07,182060,
2013-08,180079,
2013-09,184797,
2013-10,191181,
2013-11,192390,
2013-12,192183,
2014-01,192012,
2014-02,196088,
2014-03,196947,
2014-04,200570,
2014-05,204925,
2014-06,208126,
2014-07,214065,
2014-08,219288,
2014-09,218176,
2014-10,219013,
2014-11,224577,
