"",BBK01.QUK819,BBK01.QUK819_FLAGS
"",Consolidated German banks: Loans and advances to foreign banks / Morocco / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:34:50,
2002-03,0.180,
2002-04,0.184,
2002-05,0.186,
2002-06,0.180,
2002-07,0.170,
2002-08,0.373,
2002-09,0.175,
2002-10,0.169,
2002-11,0.170,
2002-12,0.191,
2003-01,0.171,
2003-02,0.167,
2003-03,0.163,
2003-04,0.170,
2003-05,0.167,
2003-06,0.166,
2003-07,0.165,
2003-08,0.179,
2003-09,0.163,
2003-10,0.168,
2003-11,0.175,
2003-12,0.172,
2004-01,0.168,
2004-02,0.173,
2004-03,0.167,
2004-04,0.178,
2004-05,0.174,
2004-06,0.169,
2004-07,0.194,
2004-08,0.196,
2004-09,0.200,
2004-10,0.206,
2004-11,0.191,
2004-12,0.209,
2005-01,0.215,
2005-02,0.208,
2005-03,0.214,
2005-04,0.221,
2005-05,0.207,
2005-06,0.245,
2005-07,0.195,
2005-08,0.185,
2005-09,0.182,
2005-10,0.179,
2005-11,0.172,
2005-12,0.164,
2006-01,0.164,
2006-02,0.152,
2006-03,0.161,
2006-04,0.167,
2006-05,0.155,
2006-06,0.149,
2006-07,0.145,
2006-08,0.148,
2006-09,0.149,
2006-10,0.127,
2006-11,0.142,
2006-12,0.252,
2007-01,0.122,
2007-02,0.116,
2007-03,0.116,
2007-04,0.120,
2007-05,0.118,
2007-06,0.119,
2007-07,0.112,
2007-08,0.119,
2007-09,0.112,
2007-10,0.115,
2007-11,0.148,
2007-12,0.152,
2008-01,0.103,
2008-02,0.107,
2008-03,0.258,
2008-04,0.108,
2008-05,0.107,
2008-06,0.108,
2008-07,0.110,
2008-08,0.108,
2008-09,0.111,
2008-10,0.098,
2008-11,0.100,
2008-12,0.092,
2009-01,0.094,
2009-02,0.095,
2009-03,0.083,
2009-04,0.099,
2009-05,0.100,
2009-06,0.092,
2009-07,0.078,
2009-08,0.023,
2009-09,0.018,
2009-10,0.019,
2009-11,0.017,
2009-12,0.026,
2010-01,0.039,
2010-02,0.022,
2010-03,0.047,
2010-04,0.039,
2010-05,0.028,
2010-06,0.018,
2010-07,0.030,
2010-08,0.028,
2010-09,0.015,
2010-10,0.021,
2010-11,0.024,
2010-12,0.016,
2011-01,0.017,
2011-02,0.021,
2011-03,0.012,
2011-04,0.015,
2011-05,0.028,
2011-06,0.028,
2011-07,0.037,
2011-08,0.085,
2011-09,0.130,
2011-10,0.155,
2011-11,0.169,
2011-12,0.217,
2012-01,0.160,
2012-02,0.155,
2012-03,0.144,
2012-04,0.122,
2012-05,0.171,
2012-06,0.101,
2012-07,0.083,
2012-08,0.077,
2012-09,0.128,
2012-10,0.107,
2012-11,0.107,
2012-12,0.127,
2013-01,0.110,
2013-02,0.087,
2013-03,0.094,
2013-04,0.108,
2013-05,0.103,
2013-06,0.144,
2013-07,0.143,
2013-08,0.090,
2013-09,0.121,
2013-10,0.102,
2013-11,0.113,
2013-12,0.119,
2014-01,0.154,
2014-02,0.191,
2014-03,0.197,
2014-04,0.262,
2014-05,0.189,
2014-06,0.251,
2014-07,0.270,
2014-08,0.284,
2014-09,0.403,
2014-10,0.432,
