"",BBFB1.Q.N.DE.B2.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:41,
1991-01,15065.528,
1991-04,-768.408,
1991-07,2331.113,
1991-10,2994.078,
1992-01,3404.835,
1992-04,3963.995,
1992-07,21848.724,
1992-10,1009.937,
1993-01,6544.732,
1993-04,4229.898,
1993-07,7440.006,
1993-10,12484.472,
1994-01,9149.695,
1994-04,8179.938,
1994-07,10786.560,
1994-10,19119.501,
1995-01,22820.116,
1995-04,17500.535,
1995-07,7717.613,
1995-10,7944.129,
1996-01,3691.000,
1996-04,6004.294,
1996-07,-6790.883,
1996-10,20641.356,
1997-01,30874.124,
1997-04,25865.175,
1997-07,-149.594,
1997-10,16207.900,
1998-01,43823.480,
1998-04,28620.252,
1998-07,11900.254,
1998-10,31078.466,
1999-01,49839.651,
1999-04,231.523,
1999-07,3090.565,
1999-10,-12394.455,
2000-01,82034.545,
2000-04,-8008.099,
2000-07,-1757.111,
2000-10,15165.877,
2001-01,96376.613,
2001-04,-23352.765,
2001-07,-9387.948,
2001-10,-18808.366,
2002-01,-2265.825,
2002-04,2643.758,
2002-07,53038.680,
2002-10,7123.603,
2003-01,32236.533,
2003-04,1068.550,
2003-07,10754.468,
2003-10,-18598.765,
2004-01,56402.019,
2004-04,-38695.124,
2004-07,32606.823,
2004-10,-4213.979,
2005-01,70782.691,
2005-04,-20155.801,
2005-07,4321.745,
2005-10,-13870.033,
2006-01,70232.256,
2006-04,4235.347,
2006-07,2114.989,
2006-10,-17831.204,
2007-01,47581.016,
2007-04,20840.709,
2007-07,64540.091,
2007-10,-52312.857,
2008-01,123976.513,
2008-04,-51250.502,
2008-07,32182.177,
2008-10,-93025.587,
2009-01,-49822.457,
2009-04,10677.054,
2009-07,-46577.270,
2009-10,-16780.456,
2010-01,42007.878,
2010-04,61222.792,
2010-07,32117.064,
2010-10,32834.152,
2011-01,-36751.575,
2011-04,-25507.479,
2011-07,103957.092,
2011-10,-82637.824,
2012-01,193507.681,
2012-04,-35719.378,
2012-07,-33226.673,
2012-10,-78752.871,
2013-01,-28200.800,
2013-04,10337.472,
2013-07,-63978.765,
2013-10,-85323.300,
2014-01,28926.360,Provisional value
2014-04,10302.874,Provisional value
2014-07,1721.742,Provisional value
2014-10,-64517.358,Provisional value
