"",BBSF2.M.1.S.00000.AKT01.A.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.A.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Net sales receipts / Distribution funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:14,
1993-04,274,
1993-05,472,
1993-06,9,
1993-07,51,
1993-08,111,
1993-09,74,
1993-10,333,
1993-11,132,
1993-12,334,
1994-01,316,
1994-02,-29,
1994-03,139,
1994-04,415,
1994-05,-13,
1994-06,-18,
1994-07,164,
1994-08,36,
1994-09,113,
1994-10,94,
1994-11,23,
1994-12,289,
1995-01,98,
1995-02,121,
1995-03,34,
1995-04,112,
1995-05,43,
1995-06,72,
1995-07,-1,
1995-08,36,
1995-09,70,
1995-10,12,
1995-11,25,
1995-12,319,
1996-01,521,
1996-02,68,
1996-03,109,
1996-04,121,
1996-05,118,
1996-06,90,
1996-07,268,
1996-08,-18,
1996-09,74,
1996-10,228,
1996-11,246,
1996-12,1266,
1997-01,639,
1997-02,591,
1997-03,340,
1997-04,116,
1997-05,309,
1997-06,562,
1997-07,582,
1997-08,332,
1997-09,1365,
1997-10,2487,
1997-11,327,
1997-12,861,
1998-01,627,
1998-02,-28,
1998-03,1145,
1998-04,620,
1998-05,393,
1998-06,330,
1998-07,446,
1998-08,549,
1998-09,308,
1998-10,317,
1998-11,1370,
1998-12,1036,
1999-01,1258,
1999-02,323,
1999-03,-50,
1999-04,-489,
1999-05,182,
1999-06,21,
1999-07,35,
1999-08,493,
1999-09,-127,
1999-10,562,
1999-11,646,
1999-12,587,
2000-01,837,
2000-02,212,
2000-03,134,
2000-04,1623,
2000-05,1183,
2000-06,966,
2000-07,734,
2000-08,-101,
2000-09,190,
2000-10,1004,
2000-11,132,
2000-12,1581,
2001-01,538,
2001-02,-1618,
2001-03,-395,
2001-04,1106,
2001-05,228,
2001-06,402,
2001-07,195,
2001-08,195,
2001-09,259,
2001-10,-185,
2001-11,-194,
2001-12,2049,
2002-01,1313,
2002-02,-49,
2002-03,71,
2002-04,1564,
2002-05,130,
2002-06,-209,
2002-07,265,
2002-08,562,
2002-09,218,
2002-10,2777,
2002-11,153,
2002-12,-266,
2003-01,82,
2003-02,-230,
2003-03,-14,
2003-04,-15,
2003-05,-21,
2003-06,-342,
2003-07,227,
2003-08,-226,
2003-09,273,
2003-10,2104,
2003-11,2126,
2003-12,1561,
2004-01,-191,
2004-02,1211,
2004-03,359,
2004-04,-35,
2004-05,-287,
2004-06,-970,
2004-07,-351,
2004-08,476,
2004-09,-712,
2004-10,-295,
2004-11,-107,
2004-12,-383,
2005-01,241,
2005-02,-92,
2005-03,110,
2005-04,121,
2005-05,753,
2005-06,675,
2005-07,702,
2005-08,-143,
2005-09,704,
2005-10,360,
2005-11,1230,
2005-12,168,
2006-01,831,
2006-02,275,
2006-03,639,
2006-04,563,
2006-05,-1308,
2006-06,-3008,
2006-07,1015,
2006-08,-101,
2006-09,-6911,
2006-10,183,
2006-11,218,
2006-12,896,
2007-01,498,
2007-02,-1816,
2007-03,1571,
2007-04,-696,
2007-05,-1554,
2007-06,-1214,
2007-07,1195,
2007-08,677,
2007-09,-85,
2007-10,187,
2007-11,772,
2007-12,1800,
2008-01,256,
2008-02,-707,
2008-03,1719,
2008-04,-636,
2008-05,2069,
2008-06,1068,
2008-07,-419,
2008-08,75,
2008-09,-621,
2008-10,1433,
2008-11,-278,
2008-12,-1970,
2009-01,162,
2009-02,-367,
2009-03,-523,
2009-04,-572,
2009-05,-443,
2009-06,-2275,
2009-07,-980,
2009-08,-1496,
2009-09,-585,
2009-10,-688,
2009-11,-1583,
2009-12,534,
2010-01,288,
2010-02,-385,
2010-03,1049,
2010-04,710,
2010-05,-110,
2010-06,-12,
2010-07,393,
2010-08,-293,
2010-09,144,
2010-10,366,
2010-11,509,
2010-12,29,
2011-01,217,
2011-02,704,
2011-03,104,
2011-04,237,
2011-05,262,
2011-06,93,
2011-07,503,
2011-08,31,
2011-09,-372,
2011-10,-977,
2011-11,536,
2011-12,590,
2012-01,707,
2012-02,-512,
2012-03,29,
2012-04,-30,
2012-05,824,
2012-06,150,
2012-07,-270,
2012-08,740,
2012-09,71,
2012-10,430,
2012-11,734,
2012-12,2400,
2013-01,852,
2013-02,236,
2013-03,1969,
2013-04,997,
2013-05,-44,
2013-06,-237,
2013-07,656,
2013-08,387,
2013-09,93,
2013-10,627,
2013-11,754,
2013-12,437,
2014-01,199,
2014-02,216,
2014-03,-353,
2014-04,4909,
2014-05,203,
2014-06,13,
2014-07,794,
2014-08,177,
2014-09,-86,
2014-10,-8142,
2014-11,4192,
