"",BBK01.OEAH76G,BBK01.OEAH76G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:33,
2002-01,0.056,
2002-04,0.064,
2002-07,0.052,
2002-10,0.056,
2003-01,0.055,
2003-04,0.046,
2003-07,0.033,
2003-10,0.029,
2004-01,0.031,
2004-04,0.043,
2004-07,0.052,
2004-10,0.074,
2005-01,0.067,
2005-04,0.071,
2005-07,0.081,
2005-10,0.088,
2006-01,0.137,
2006-04,0.146,
2006-07,0.149,
2006-10,0.157,
2007-01,0.137,
2007-04,0.134,
2007-07,0.146,
2007-10,0.174,
2008-01,1.115,
2008-04,1.423,
2008-07,1.426,
2008-10,1.188,
2009-01,0.228,
2009-04,0.240,
2009-07,0.244,
2009-10,0.209,
2010-01,0.185,
2010-04,0.157,
2010-07,0.136,
2010-10,0.120,
2011-01,0.094,
2011-04,0.209,
2011-07,0.477,
2011-10,0.541,
2012-01,0.589,
2012-04,0.562,
2012-07,0.430,
2012-10,0.442,
2013-01,0.393,
2013-04,0.418,
2013-07,0.391,
2013-10,0.539,
2014-01,0.628,
2014-04,0.655,
2014-07,0.686,
