"",BBK01.OEHB21Q,BBK01.OEHB21Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:53,
2002-01,0.439,
2002-04,0.391,
2002-07,0.331,
2002-10,0.357,
2003-01,0.404,
2003-04,0.438,
2003-07,0.543,
2003-10,0.477,
2004-01,0.442,
2004-04,0.464,
2004-07,0.464,
2004-10,0.461,
2005-01,0.490,
2005-04,0.548,
2005-07,0.521,
2005-10,0.471,
2006-01,0.514,
2006-04,0.475,
2006-07,0.460,
2006-10,0.467,
2007-01,0.423,
2007-04,0.408,
2007-07,0.405,
2007-10,0.377,
2008-01,0.369,
2008-04,0.425,
2008-07,0.455,
2008-10,0.431,
2009-01,0.389,
2009-04,0.451,
2009-07,0.504,
2009-10,0.449,
2010-01,0.504,
2010-04,0.520,
2010-07,0.597,
2010-10,0.525,
2011-01,0.542,
2011-04,0.580,
2011-07,0.530,
2011-10,0.530,
2012-01,0.546,
2012-04,0.522,
2012-07,0.533,
2012-10,0.533,
2013-01,0.562,
2013-04,0.536,
2013-07,0.525,
2013-10,0.456,
2014-01,0.515,
2014-04,0.514,
2014-07,0.530,
