"",BBK01.OELB24Q,BBK01.OELB24Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:04,
2002-01,0.011,
2002-04,0.021,
2002-07,0.021,
2002-10,0.021,
2003-01,0.020,
2003-04,0.070,
2003-07,0.071,
2003-10,0.070,
2004-01,0.072,
2004-04,0.072,
2004-07,0.072,
2004-10,0.072,
2005-01,0.073,
2005-04,0.074,
2005-07,0.189,
2005-10,0.231,
2006-01,0.235,
2006-04,0.237,
2006-07,0.238,
2006-10,0.264,
2007-01,0.264,
2007-04,0.267,
2007-07,0.443,
2007-10,0.316,
2008-01,0.343,
2008-04,0.332,
2008-07,0.333,
2008-10,0.476,
2009-01,0.453,
2009-04,0.483,
2009-07,0.544,
2009-10,0.545,
2010-01,0.546,
2010-04,0.478,
2010-07,0.478,
2010-10,0.497,
2011-01,0.498,
2011-04,0.528,
2011-07,0.547,
2011-10,0.547,
2012-01,0.570,
2012-04,0.561,
2012-07,0.543,
2012-10,0.581,
2013-01,0.621,
2013-04,0.605,
2013-07,0.634,
2013-10,0.634,
2014-01,0.613,
2014-04,0.575,
2014-07,0.575,
