"",BBK01.OUU141,BBK01.OUU141_FLAGS
"",Deposits and borrowing from non-profit institutions / Total / Building and loan associations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:20:31,
1999-01,0.193,
1999-02,0.198,
1999-03,0.200,
1999-04,0.206,
1999-05,0.202,
1999-06,0.197,
1999-07,0.205,
1999-08,0.227,
1999-09,0.217,
1999-10,0.204,
1999-11,0.202,
1999-12,0.225,
2000-01,0.197,
2000-02,0.221,
2000-03,0.213,
2000-04,0.212,
2000-05,0.206,
2000-06,0.195,
2000-07,0.197,
2000-08,0.196,
2000-09,0.196,
2000-10,0.193,
2000-11,0.193,
2000-12,0.190,
2001-01,0.185,
2001-02,0.187,
2001-03,0.177,
2001-04,0.170,
2001-05,0.168,
2001-06,0.164,
2001-07,0.162,
2001-08,0.159,
2001-09,0.160,
2001-10,0.161,
2001-11,0.158,
2001-12,0.161,
2002-01,0.165,
2002-02,0.165,
2002-03,0.166,
2002-04,0.163,
2002-05,0.163,
2002-06,0.164,
2002-07,0.163,
2002-08,0.159,
2002-09,0.166,
2002-10,0.147,
2002-11,0.144,
2002-12,0.148,
2003-01,0.146,
2003-02,0.140,
2003-03,0.142,
2003-04,0.145,
2003-05,0.147,
2003-06,0.146,
2003-07,0.145,
2003-08,0.149,
2003-09,0.152,
2003-10,0.156,
2003-11,0.146,
2003-12,0.150,
2004-01,0.155,
2004-02,0.157,
2004-03,0.160,
2004-04,0.162,
2004-05,0.161,
2004-06,0.160,
2004-07,0.168,
2004-08,0.170,
2004-09,0.173,
2004-10,0.175,
2004-11,0.177,
2004-12,0.187,
2005-01,0.192,
2005-02,0.203,
2005-03,0.202,
2005-04,0.196,
2005-05,0.207,
2005-06,0.208,
2005-07,0.209,
2005-08,0.219,
2005-09,0.221,
2005-10,0.222,
2005-11,0.218,
2005-12,0.218,
2006-01,0.218,
2006-02,0.208,
2006-03,0.197,
2006-04,0.197,
2006-05,0.197,
2006-06,0.200,
2006-07,0.199,
2006-08,0.196,
2006-09,0.195,
2006-10,0.193,
2006-11,0.198,
2006-12,0.199,
2007-01,0.198,
2007-02,0.198,
2007-03,0.196,
2007-04,0.198,
2007-05,0.196,
2007-06,0.189,
2007-07,0.195,
2007-08,0.196,
2007-09,0.202,
2007-10,0.200,
2007-11,0.194,
2007-12,0.198,
2008-01,0.197,
2008-02,0.201,
2008-03,0.201,
2008-04,0.200,
2008-05,0.203,
2008-06,0.204,
2008-07,0.205,
2008-08,0.202,
2008-09,0.202,
2008-10,0.200,
2008-11,0.201,
2008-12,0.202,
2009-01,0.201,
2009-02,0.203,
2009-03,0.204,
2009-04,0.207,
2009-05,0.209,
2009-06,0.207,
2009-07,0.210,
2009-08,0.211,
2009-09,0.212,
2009-10,0.212,
2009-11,0.209,
2009-12,0.202,
2010-01,0.205,
2010-02,0.206,
2010-03,0.197,
2010-04,0.205,
2010-05,0.203,
2010-06,0.205,
2010-07,0.220,
2010-08,0.222,
2010-09,0.222,
2010-10,0.222,
2010-11,0.221,
2010-12,0.227,
2011-01,0.228,
2011-02,0.230,
2011-03,0.236,
2011-04,0.237,
2011-05,0.242,
2011-06,0.241,
2011-07,0.242,
2011-08,0.242,
2011-09,0.246,
2011-10,0.246,
2011-11,0.246,
2011-12,0.249,
2012-01,0.250,
2012-02,0.251,
2012-03,0.249,
2012-04,0.251,
2012-05,0.246,
2012-06,0.250,
2012-07,0.251,
2012-08,0.250,
2012-09,0.247,
2012-10,0.246,
2012-11,0.246,
2012-12,0.250,
2013-01,0.254,
2013-02,0.256,
2013-03,0.257,
2013-04,0.258,
2013-05,0.258,
2013-06,0.258,
2013-07,0.257,
2013-08,0.257,
2013-09,0.255,
2013-10,0.254,
2013-11,0.253,
2013-12,0.260,
2014-01,0.261,
2014-02,0.264,
2014-03,0.262,
2014-04,0.265,
2014-05,0.263,
2014-06,0.264,
2014-07,0.266,
2014-08,0.266,
2014-09,0.264,
2014-10,0.263,
2014-11,0.265,
2014-12,0.250,Provisional value
