"",BBK01.OELM02S,BBK01.OELM02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:36,
2002-01,0.020,
2002-04,0.016,
2002-07,0.011,
2002-10,0.020,
2003-01,0.013,
2003-04,0.016,
2003-07,0.053,
2003-10,0.055,
2004-01,0.059,
2004-04,0.063,
2004-07,0.062,
2004-10,0.096,
2005-01,0.031,
2005-04,0.031,
2005-07,0.034,
2005-10,0.030,
2006-01,0.023,
2006-04,0.024,
2006-07,0.023,
2006-10,0.029,
2007-01,0.016,
2007-04,0.016,
2007-07,0.014,
2007-10,0.014,
2008-01,0.014,
2008-04,0.013,
2008-07,0.013,
2008-10,0.024,
2009-01,0.023,
2009-04,0.020,
2009-07,0.021,
2009-10,0.024,
2010-01,0.025,
2010-04,0.027,
2010-07,0.025,
2010-10,0.026,
2011-01,0.025,
2011-04,0.020,
2011-07,0.017,
2011-10,0.132,
2012-01,0.109,
2012-04,0.118,
2012-07,0.140,
2012-10,0.135,
2013-01,0.147,
2013-04,0.152,
2013-07,0.166,
2013-10,0.105,
2014-01,0.138,
2014-04,0.117,
2014-07,0.125,
