"",BBK01.WXI075,BBK01.WXI075_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:51,
2009-09,4733,
2009-10,4644,
2009-11,4547,
2009-12,4762,
2010-01,4810,
2010-02,4770,
2010-03,4987,
2010-04,5611,
2010-05,6187,
2010-06,6190,
2010-07,6397,
2010-08,6697,
2010-09,6671,
2010-10,6466,
2010-11,6413,
2010-12,6302,
2011-01,6454,
2011-02,6400,
2011-03,6310,
2011-04,6140,
2011-05,6455,
2011-06,6355,
2011-07,6706,
2011-08,6912,
2011-09,6513,
2011-10,6631,
2011-11,7518,
2011-12,8241,
2012-01,9360,
2012-02,10628,
2012-03,11450,
2012-04,12571,
2012-05,13659,
2012-06,13959,
2012-07,14721,
2012-08,14997,
2012-09,14795,
2012-10,15072,
2012-11,15130,
2012-12,15191,
2013-01,14185,
2013-02,14246,
2013-03,14201,
2013-04,14523,
2013-05,14564,
2013-06,14433,
2013-07,14151,
2013-08,13986,
2013-09,14832,
2013-10,14945,
2013-11,4365,
2013-12,4279,
2014-01,4301,
2014-02,5965,
2014-03,6334,
2014-04,6413,
2014-05,6670,
2014-06,4645,
2014-07,4710,
2014-08,4923,
2014-09,4948,
2014-10,4993,
2014-11,5232,
