"",BBK01.OEAI04L,BBK01.OEAI04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:25,
2002-01,95.574,
2002-04,86.952,
2002-07,99.818,
2002-10,85.249,
2003-01,103.310,
2003-04,98.122,
2003-07,113.613,
2003-10,101.580,
2004-01,100.269,
2004-04,89.478,
2004-07,101.050,
2004-10,122.941,
2005-01,109.511,
2005-04,114.514,
2005-07,124.781,
2005-10,115.142,
2006-01,116.889,
2006-04,114.323,
2006-07,137.043,
2006-10,125.290,
2007-01,129.183,
2007-04,141.617,
2007-07,136.390,
2007-10,158.568,
2008-01,169.911,
2008-04,158.013,
2008-07,163.517,
2008-10,146.982,
2009-01,122.531,
2009-04,119.765,
2009-07,110.515,
2009-10,101.397,
2010-01,97.663,
2010-04,101.375,
2010-07,102.677,
2010-10,102.975,
2011-01,94.630,
2011-04,118.647,
2011-07,115.531,
2011-10,111.898,
2012-01,105.351,
2012-04,106.746,
2012-07,103.430,
2012-10,109.003,
2013-01,112.029,
2013-04,131.117,
2013-07,89.233,
2013-10,105.931,
2014-01,96.649,
2014-04,91.964,
2014-07,104.235,
