"",BBK01.TU2008,BBK01.TU2008_FLAGS
"","Foreign branches: Lending to banks (MFIs) / Money market paper, securities",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 10:35:07,
1973-06,-,Nothing exists
1973-07,-,Nothing exists
1973-08,-,Nothing exists
1973-09,-,Nothing exists
1973-10,0.031,
1973-11,-,Nothing exists
1973-12,-,Nothing exists
1974-01,-,Nothing exists
1974-02,-,Nothing exists
1974-03,0.011,
1974-04,0.011,
1974-05,0.011,
1974-06,0.027,
1974-07,0.027,
1974-08,0.027,
1974-09,0.061,
1974-10,0.176,
1974-11,0.175,
1974-12,0.154,
1975-01,0.154,
1975-02,0.154,
1975-03,0.154,
1975-04,0.154,
1975-05,0.154,
1975-06,0.154,
1975-07,0.154,
1975-08,0.153,
1975-09,0.154,
1975-10,0.153,
1975-11,0.153,
1975-12,0.154,
1976-01,0.153,
1976-02,0.154,
1976-03,0.339,
1976-04,0.153,
1976-05,0.108,
1976-06,0.085,
1976-07,0.085,
1976-08,0.085,
1976-09,0.097,
1976-10,0.064,
1976-11,0.064,
1976-12,0.064,
1977-01,0.064,
1977-02,0.064,
1977-03,0.064,
1977-04,0.064,
1977-05,0.064,
1977-06,0.064,
1977-07,0.064,
1977-08,0.064,
1977-09,0.064,
1977-10,0.064,
1977-11,0.064,
1977-12,0.064,
1978-01,0.064,
1978-02,0.064,
1978-03,0.064,
1978-04,0.064,
1978-05,0.064,
1978-06,0.064,
1978-07,0.046,
1978-08,0.031,
1978-09,0.031,
1978-10,0.029,
1978-11,0.021,
1978-12,0.021,
1979-01,0.020,
1979-02,0.012,
1979-03,0.012,
1979-04,0.011,
1979-05,0.012,
1979-06,0.013,
1979-07,0.012,
1979-08,0.002,
1979-09,0.011,
1979-10,0.029,
1979-11,0.032,
1979-12,0.042,
1980-01,0.041,
1980-02,0.041,
1980-03,0.041,
1980-04,0.041,
1980-05,0.062,
1980-06,0.063,
1980-07,0.063,
1980-08,0.063,
1980-09,0.070,
1980-10,0.070,
1980-11,0.096,
1980-12,0.097,
1981-01,0.095,
1981-02,0.086,
1981-03,0.147,
1981-04,0.147,
1981-05,0.147,
1981-06,0.147,
1981-07,0.147,
1981-08,0.145,
1981-09,0.112,
1981-10,0.112,
1981-11,0.086,
1981-12,0.057,
1982-01,0.054,
1982-02,0.057,
1982-03,0.057,
1982-04,0.056,
1982-05,0.059,
1982-06,0.113,
1982-07,0.138,
1982-08,0.207,
1982-09,0.263,
1982-10,0.417,
1982-11,0.463,
1982-12,0.487,
1983-01,0.510,
1983-02,0.543,
1983-03,0.600,
1983-04,0.623,
1983-05,0.623,
1983-06,0.717,
1983-07,0.856,
1983-08,1.038,
1983-09,1.462,
1983-10,1.553,
1983-11,1.737,
1983-12,1.770,
1984-01,1.827,
1984-02,2.042,
1984-03,2.092,
1984-04,2.119,
1984-05,2.019,
1984-06,2.140,
1984-07,2.459,
1984-08,2.576,
1984-09,2.387,
1984-10,2.718,
1984-11,2.771,
1984-12,2.653,
1985-01,2.381,
1985-02,2.218,
1985-03,1.968,
1985-04,1.870,
1985-05,1.999,
1985-06,2.123,
1985-07,2.035,
1985-08,2.017,
1985-09,1.932,
1985-10,1.853,
1985-11,1.961,
1985-12,2.238,
1986-01,2.415,
1986-02,2.421,
1986-03,2.318,
1986-04,2.259,
1986-05,2.104,
1986-06,3.565,
1986-07,3.515,
1986-08,3.699,
1986-09,3.526,
1986-10,3.299,
1986-11,3.149,
1986-12,3.084,
1987-01,3.187,
1987-02,3.269,
1987-03,3.084,
1987-04,2.894,
1987-05,2.906,
1987-06,2.843,
1987-07,2.879,
1987-08,2.811,
1987-09,2.840,
1987-10,2.897,
1987-11,3.010,
1987-12,3.066,
1988-01,3.154,
1988-02,3.183,
1988-03,3.001,
1988-04,2.783,
1988-05,2.827,
1988-06,2.861,
1988-07,2.723,
1988-08,2.588,
1988-09,2.573,
1988-10,2.388,
1988-11,2.287,
1988-12,2.312,
1989-01,2.295,
1989-02,2.330,
1989-03,2.331,
1989-04,2.275,
1989-05,2.270,
1989-06,2.340,
1989-07,2.376,
1989-08,2.521,
1989-09,2.462,
1989-10,2.347,
1989-11,2.468,
1989-12,2.428,
1990-01,2.430,
1990-02,2.565,
1990-03,2.639,
1990-04,2.617,
1990-05,2.638,
1990-06,2.614,
1990-07,2.522,
1990-08,2.667,
1990-09,2.596,
1990-10,3.381,
1990-11,3.261,
1990-12,3.420,
1991-01,3.346,
1991-02,3.958,
1991-03,4.209,
1991-04,4.305,
1991-05,4.372,
1991-06,5.073,
1991-07,5.348,
1991-08,5.825,
1991-09,5.762,
1991-10,6.028,
1991-11,6.282,
1991-12,6.322,
1992-01,6.357,
1992-02,6.489,
1992-03,6.574,
1992-04,6.785,
1992-05,6.909,
1992-06,6.850,
1992-07,7.383,
1992-08,7.035,
1992-09,9.013,
1992-10,11.059,
1992-11,11.331,
1992-12,12.159,
1993-01,12.807,
1993-02,13.220,
1993-03,14.293,
1993-04,14.405,
1993-05,14.336,
1993-06,15.864,
1993-07,16.690,
1993-08,15.489,
1993-09,17.020,
1993-10,18.031,
1993-11,18.504,
1993-12,24.311,
1994-01,25.654,
1994-02,26.552,
1994-03,25.843,
1994-04,24.897,
1994-05,24.767,
1994-06,25.677,
1994-07,26.973,
1994-08,27.332,
1994-09,28.191,
1994-10,28.465,
1994-11,32.208,
1994-12,35.333,
1995-01,35.456,
1995-02,35.739,
1995-03,36.282,
1995-04,37.227,
1995-05,37.374,
1995-06,37.698,
1995-07,38.732,
1995-08,40.466,
1995-09,40.743,
1995-10,41.707,
1995-11,42.106,
1995-12,42.446,
1996-01,45.041,
1996-02,47.629,
1996-03,49.480,
1996-04,49.636,
1996-05,50.815,
1996-06,51.810,
1996-07,52.489,
1996-08,53.577,
1996-09,55.575,
1996-10,57.078,
1996-11,57.597,
1996-12,58.368,
1997-01,62.483,
1997-02,64.700,
1997-03,65.707,
1997-04,63.838,
1997-05,62.891,
1997-06,62.822,
1997-07,65.623,
1997-08,65.287,
1997-09,65.037,
1997-10,69.695,
1997-11,70.654,
1997-12,72.149,
1998-01,74.864,
1998-02,77.656,
1998-03,78.060,
