"",BBK01.CEWK02,BBK01.CEWK02_FLAGS
"",Net acquisition of financial assets Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:24,
1991-01,3.7,
1991-04,-0.4,
1991-07,3.6,
1991-10,2.2,
1992-01,2.8,
1992-04,-4.5,
1992-07,3.0,
1992-10,3.1,
1993-01,2.7,
1993-04,-2.8,
1993-07,3.5,
1993-10,1.6,
1994-01,4.8,
1994-04,-4.4,
1994-07,5.3,
1994-10,1.8,
1995-01,4.3,
1995-04,-2.4,
1995-07,2.7,
1995-10,-1.3,
1996-01,3.4,
1996-04,-2.1,
1996-07,3.2,
1996-10,0.0,
1997-01,4.5,
1997-04,0.2,
1997-07,4.0,
1997-10,-0.8,
1998-01,2.6,
1998-04,-2.6,
1998-07,2.3,
1998-10,-4.8,
1999-01,4.2,
1999-04,-0.8,
1999-07,2.9,
1999-10,-1.2,
2000-01,5.0,
2000-04,1.6,
2000-07,2.7,
2000-10,-0.1,
2001-01,1.3,
2001-04,-2.7,
2001-07,-0.3,
2001-10,1.1,
2002-01,4.9,
2002-04,3.6,
2002-07,6.7,
2002-10,1.9,
2003-01,4.8,
2003-04,1.0,
2003-07,4.0,
2003-10,0.0,
2004-01,7.1,
2004-04,8.6,
2004-07,7.2,
2004-10,2.4,
2005-01,9.6,
2005-04,8.7,
2005-07,4.9,
2005-10,2.2,
2006-01,8.3,
2006-04,12.0,
2006-07,11.0,
2006-10,6.3,
2007-01,2.3,
2007-04,7.8,
2007-07,5.6,
2007-10,1.3,
2008-01,-1.2,
2008-04,11.6,
2008-07,13.2,
2008-10,4.3,
2009-01,-4.1,
2009-04,4.7,
2009-07,5.2,
2009-10,0.3,
2010-01,-0.3,
2010-04,5.0,
2010-07,34.6,
2010-10,-1.5,
2011-01,4.7,
2011-04,8.3,
2011-07,7.9,
2011-10,1.8,
2012-01,3.3,
2012-04,4.5,
2012-07,3.5,
2012-10,0.1,
2013-01,2.9,
2013-04,3.1,
2013-07,4.1,
2013-10,-1.1,
2014-01,0.9,
