"",BBK01.OEAL03L,BBK01.OEAL03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:08,
2002-01,17.746,
2002-04,18.637,
2002-07,18.993,
2002-10,19.498,
2003-01,19.375,
2003-04,18.959,
2003-07,19.090,
2003-10,19.022,
2004-01,18.884,
2004-04,18.740,
2004-07,18.639,
2004-10,19.735,
2005-01,19.482,
2005-04,19.367,
2005-07,19.595,
2005-10,19.800,
2006-01,21.204,
2006-04,21.749,
2006-07,26.158,
2006-10,27.977,
2007-01,30.928,
2007-04,32.685,
2007-07,35.733,
2007-10,39.602,
2008-01,42.893,
2008-04,46.730,
2008-07,49.414,
2008-10,49.694,
2009-01,45.113,
2009-04,45.215,
2009-07,41.069,
2009-10,37.637,
2010-01,38.372,
2010-04,37.783,
2010-07,37.850,
2010-10,39.064,
2011-01,34.870,
2011-04,35.832,
2011-07,37.396,
2011-10,38.807,
2012-01,41.284,
2012-04,43.846,
2012-07,45.263,
2012-10,44.768,
2013-01,44.721,
2013-04,44.079,
2013-07,41.896,
2013-10,41.539,
2014-01,42.579,
2014-04,43.780,
2014-07,44.183,
