"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.GB.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.GB.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / United Kingdom / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:26,
2009-09,2459,
2009-10,2495,
2009-11,2327,
2009-12,2402,
2010-01,2472,
2010-02,2564,
2010-03,2668,
2010-04,2734,
2010-05,2581,
2010-06,2665,
2010-07,2711,
2010-08,2821,
2010-09,3065,
2010-10,3132,
2010-11,3079,
2010-12,3013,
2011-01,3078,
2011-02,3076,
2011-03,3143,
2011-04,3162,
2011-05,3235,
2011-06,3205,
2011-07,3141,
2011-08,3092,
2011-09,3003,
2011-10,2353,
2011-11,2752,
2011-12,2776,
2012-01,3078,
2012-02,3229,
2012-03,3275,
2012-04,3276,
2012-05,3231,
2012-06,3133,
2012-07,3195,
2012-08,3118,
2012-09,3002,
2012-10,2804,
2012-11,2755,
2012-12,2737,
2013-01,2490,
2013-02,2451,
2013-03,2437,
2013-04,2298,
2013-05,2220,
2013-06,2104,
2013-07,2223,
2013-08,2182,
2013-09,2274,
2013-10,2341,
2013-11,2385,
2013-12,2345,
2014-01,2357,
2014-02,2410,
2014-03,2419,
2014-04,2368,
2014-05,2423,
2014-06,2539,
2014-07,2418,
2014-08,2614,
2014-09,2773,
2014-10,2850,
2014-11,2923,
