"",BBK01.OEAA55U,BBK01.OEAA55U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:01,
2002-01,0.093,
2002-04,0.092,
2002-07,0.092,
2002-10,0.093,
2003-01,0.093,
2003-04,0.093,
2003-07,0.093,
2003-10,0.094,
2004-01,0.092,
2004-04,0.092,
2004-07,0.090,
2004-10,0.090,
2005-01,0.088,
2005-04,0.088,
2005-07,0.088,
2005-10,0.086,
2006-01,0.087,
2006-04,0.087,
2006-07,0.088,
2006-10,0.094,
2007-01,0.094,
2007-04,0.096,
2007-07,0.099,
2007-10,0.100,
2008-01,0.099,
2008-04,0.119,
2008-07,0.126,
2008-10,0.125,
2009-01,0.120,
2009-04,0.178,
2009-07,0.169,
2009-10,0.236,
2010-01,0.245,
2010-04,0.264,
2010-07,0.188,
2010-10,0.222,
2011-01,0.218,
2011-04,0.194,
2011-07,0.189,
2011-10,0.190,
2012-01,0.221,
2012-04,0.217,
2012-07,0.209,
2012-10,0.213,
2013-01,0.228,
2013-04,0.308,
2013-07,0.275,
2013-10,0.291,
2014-01,0.298,
2014-04,0.286,
2014-07,0.381,
