"",BBK01.CEFEC5,BBK01.CEFEC5_FLAGS
"",short-term loans  debtor: General government                                                         creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:40,
1999-01,0.0,
1999-04,0.0,
1999-07,0.0,
1999-10,0.0,
2000-01,0.0,
2000-04,0.0,
2000-07,0.0,
2000-10,0.0,
2001-01,0.0,
2001-04,0.0,
2001-07,0.0,
2001-10,0.0,
2002-01,0.0,
2002-04,0.0,
2002-07,0.8,
2002-10,2.3,
2003-01,2.1,
2003-04,4.9,
2003-07,5.6,
2003-10,2.3,
2004-01,2.6,
2004-04,5.9,
2004-07,2.1,
2004-10,6.2,
2005-01,10.0,
2005-04,5.6,
2005-07,15.5,
2005-10,9.8,
2006-01,17.7,
2006-04,20.0,
2006-07,24.1,
2006-10,16.6,
2007-01,28.2,
2007-04,31.7,
2007-07,25.8,
2007-10,15.8,
2008-01,23.7,
2008-04,22.6,
2008-07,11.3,
2008-10,19.3,
2009-01,6.6,
2009-04,5.9,
2009-07,6.1,
2009-10,11.5,
2010-01,8.6,
2010-04,4.5,
2010-07,4.6,
2010-10,9.1,
2011-01,4.8,
2011-04,3.6,
2011-07,4.4,
2011-10,4.7,
2012-01,12.9,
2012-04,13.3,
2012-07,8.5,
2012-10,9.9,
2013-01,4.7,
2013-04,14.6,
2013-07,0.0,
2013-10,0.0,
2014-01,0.0,
2014-04,0.0,
2014-07,0.0,
