"",BBFB1.Q.N.DE.BR.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.BR.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Brazil,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:31,
1991-01,165.400,
1991-04,211.805,
1991-07,39.415,
1991-10,232.381,
1992-01,69.961,
1992-04,139.113,
1992-07,8.890,
1992-10,188.264,
1993-01,122.173,
1993-04,137.450,
1993-07,-364.286,
1993-10,200.056,
1994-01,360.639,
1994-04,170.612,
1994-07,99.544,
1994-10,373.928,
1995-01,220.488,
1995-04,371.539,
1995-07,376.574,
1995-10,157.669,
1996-01,276.950,
1996-04,531.636,
1996-07,-98.373,
1996-10,493.589,
1997-01,-170.016,
1997-04,-434.452,
1997-07,560.290,
1997-10,418.033,
1998-01,651.387,
1998-04,1166.557,
1998-07,152.237,
1998-10,-243.797,
1999-01,-422.527,
1999-04,-264.906,
1999-07,500.190,
1999-10,661.723,
2000-01,29.971,
2000-04,774.390,
2000-07,1151.562,
2000-10,200.332,
2001-01,-211.346,
2001-04,-11.614,
2001-07,64.992,
2001-10,230.275,
2002-01,-44.313,
2002-04,166.504,
2002-07,7.546,
2002-10,-129.118,
2003-01,-477.028,
2003-04,-558.407,
2003-07,-338.768,
2003-10,-180.554,
2004-01,-27.334,
2004-04,407.328,
2004-07,-539.551,
2004-10,724.573,
2005-01,-304.885,
2005-04,425.385,
2005-07,-305.896,
2005-10,1031.244,
2006-01,-535.603,
2006-04,125.344,
2006-07,98.260,
2006-10,329.969,
2007-01,557.409,
2007-04,936.216,
2007-07,50.529,
2007-10,246.066,
2008-01,706.970,
2008-04,88.614,
2008-07,458.301,
2008-10,-826.068,
2009-01,1055.932,
2009-04,-100.991,
2009-07,714.071,
2009-10,-345.456,
2010-01,1072.464,
2010-04,543.584,
2010-07,1304.716,
2010-10,548.115,
2011-01,805.180,
2011-04,1859.654,
2011-07,863.971,
2011-10,-182.224,
2012-01,817.529,
2012-04,-39.165,
2012-07,-905.910,
2012-10,1013.370,
2013-01,540.016,
2013-04,1008.280,
2013-07,1230.137,
2013-10,790.933,
2014-01,439.140,Provisional value
2014-04,232.305,Provisional value
2014-07,907.040,Provisional value
2014-10,808.864,Provisional value
