"",BBFN1.M.DE.N.1.A.W03100.S1P.H2.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W03100.S1P.H2.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from advance payments made / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:01,
1995-01,1.131,
1995-02,1.182,
1995-03,1.335,
1995-04,1.277,
1995-05,1.352,
1995-06,1.330,
1995-07,1.442,
1995-08,1.508,
1995-09,1.501,
1995-10,1.478,
1995-11,1.518,
1995-12,1.724,
1996-01,1.793,
1996-02,1.813,
1996-03,1.895,
1996-04,2.015,
1996-05,2.089,
1996-06,2.003,
1996-07,2.020,
1996-08,2.027,
1996-09,1.998,
1996-10,2.119,
1996-11,2.158,
1996-12,2.159,
1997-01,2.206,
1997-02,2.247,
1997-03,2.248,
1997-04,2.305,
1997-05,2.411,
1997-06,2.233,
1997-07,2.296,
1997-08,2.198,
1997-09,2.166,
1997-10,2.124,
1997-11,1.965,
1997-12,1.835,
1998-01,1.893,
1998-02,1.900,
1998-03,1.716,
1998-04,1.677,
1998-05,1.746,
1998-06,1.815,
1998-07,1.837,
1998-08,1.874,
1998-09,1.755,
1998-10,1.881,
1998-11,1.876,
1998-12,1.767,
1999-01,1.574,
1999-02,1.614,
1999-03,1.698,
1999-04,1.796,
1999-05,1.838,
1999-06,1.911,
1999-07,1.955,
1999-08,1.955,
1999-09,1.992,
1999-10,2.002,
1999-11,2.094,
1999-12,1.938,
2000-01,1.981,
2000-02,2.053,
2000-03,2.341,
2000-04,2.304,
2000-05,2.280,
2000-06,2.165,
2000-07,2.137,
2000-08,2.091,
2000-09,2.004,
2000-10,2.081,
2000-11,1.907,
2000-12,1.854,
2001-01,1.857,
2001-02,1.922,
2001-03,2.028,
2001-04,2.130,
2001-05,1.973,
2001-06,2.021,
2001-07,2.173,
2001-08,2.234,
2001-09,2.125,
2001-10,1.996,
2001-11,2.226,
2001-12,1.889,
2002-01,2.208,
2002-02,2.281,
2002-03,2.013,
2002-04,2.144,
2002-05,2.012,
2002-06,1.975,
2002-07,2.012,
2002-08,1.970,
2002-09,1.848,
2002-10,1.940,
2002-11,1.943,
2002-12,1.827,
2003-01,1.874,
2003-02,2.059,
2003-03,2.251,
2003-04,2.319,
2003-05,2.442,
2003-06,2.338,
2003-07,2.389,
2003-08,2.378,
2003-09,2.389,
2003-10,2.500,
2003-11,2.609,
2003-12,2.456,
2004-01,2.417,
2004-02,2.522,
2004-03,2.492,
2004-04,2.686,
2004-05,2.337,
2004-06,2.271,
2004-07,2.278,
2004-08,2.215,
2004-09,2.121,
2004-10,2.250,
2004-11,2.234,
2004-12,2.030,
2005-01,2.111,
2005-02,2.145,
2005-03,2.134,
2005-04,2.169,
2005-05,2.210,
2005-06,2.117,
2005-07,2.044,
2005-08,1.939,
2005-09,1.926,
2005-10,1.854,
2005-11,1.866,
2005-12,1.660,
2006-01,1.683,
2006-02,1.670,
2006-03,1.654,
2006-04,1.642,
2006-05,1.627,
2006-06,1.557,
2006-07,1.568,
2006-08,1.581,
2006-09,1.622,
2006-10,1.653,
2006-11,1.665,
2006-12,2.093,
2007-01,2.021,
2007-02,2.118,
2007-03,2.215,
2007-04,2.269,
2007-05,2.339,
2007-06,2.350,
2007-07,2.455,
2007-08,2.523,
2007-09,2.475,
2007-10,2.264,
2007-11,2.372,
2007-12,2.484,
2008-01,2.606,
2008-02,2.647,
2008-03,2.714,
2008-04,2.758,
2008-05,2.917,
2008-06,3.146,
2008-07,3.450,
2008-08,3.627,
2008-09,3.455,
2008-10,3.662,
2008-11,3.600,
2008-12,3.401,
2009-01,3.526,
2009-02,3.597,
2009-03,3.403,
2009-04,3.543,
2009-05,3.548,
2009-06,3.593,
2009-07,3.538,
2009-08,3.542,
2009-09,3.506,
2009-10,3.431,
2009-11,3.452,
2009-12,3.649,
2010-01,3.540,
2010-02,3.578,
2010-03,3.897,
2010-04,3.922,
2010-05,3.922,
2010-06,3.907,
2010-07,3.907,
2010-08,3.926,
2010-09,3.721,
2010-10,3.776,
2010-11,3.891,
2010-12,3.882,
2011-01,3.861,
2011-02,3.911,
2011-03,3.666,
2011-04,3.727,
2011-05,3.581,
2011-06,3.503,
2011-07,3.454,
2011-08,3.544,
2011-09,3.381,
2011-10,3.435,
2011-11,3.455,
2011-12,3.405,
2012-01,3.215,
2012-02,3.118,
2012-03,2.886,
2012-04,2.925,
2012-05,2.945,
2012-06,2.875,
2012-07,2.799,
2012-08,2.839,
2012-09,2.831,
2012-10,2.866,
2012-11,2.672,
2012-12,2.432,
2013-01,2.479,
2013-02,2.241,
2013-03,2.122,
2013-04,2.214,
2013-05,2.408,
2013-06,2.449,
2013-07,2.120,
2013-08,2.299,
2013-09,2.219,
2013-10,2.066,
2013-11,1.939,
2013-12,1.756,
2014-01,1.870,
2014-02,1.659,
2014-03,1.697,
2014-04,1.727,
2014-05,1.749,
2014-06,1.703,
2014-07,1.854,
2014-08,1.818,
2014-09,1.703,
2014-10,1.763,
2014-11,1.750,
2014-12,1.699,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
