"",BBK01.TQ7129N,BBK01.TQ7129N_FLAGS
"",Deposit takers - Geographical distribution of loans - Netherlands                                        FSI-S290,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-23 10:06:23,
2005-10,42220,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,46007,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,56523,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,65272,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,61146,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,60205,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,63458,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,67518,
2013-01,70468,
2013-04,69341,
2013-07,66733,
2013-10,65561,
2014-01,67299,
2014-04,67543,
2014-07,69608,
