"",BBFB1.M.N.DE.W1.S1.S1.T.C.D41.P.F3.L._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D41.P.F3.L._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Portfolio investment / Interest on Debt securities / Long-term / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:13,
1991-01,950.083,
1991-02,947.222,
1991-03,941.016,
1991-04,940.618,
1991-05,935.266,
1991-06,934.287,
1991-07,930.623,
1991-08,930.738,
1991-09,928.155,
1991-10,934.310,
1991-11,937.719,
1991-12,942.412,
1992-01,938.434,
1992-02,926.706,
1992-03,928.233,
1992-04,917.492,
1992-05,913.021,
1992-06,907.223,
1992-07,906.355,
1992-08,905.034,
1992-09,891.253,
1992-10,868.781,
1992-11,860.582,
1992-12,849.863,
1993-01,845.318,
1993-02,860.008,
1993-03,867.423,
1993-04,888.028,
1993-05,895.317,
1993-06,901.773,
1993-07,902.169,
1993-08,912.293,
1993-09,922.871,
1993-10,936.996,
1993-11,941.565,
1993-12,954.860,
1994-01,957.417,
1994-02,967.345,
1994-03,985.089,
1994-04,985.547,
1994-05,990.082,
1994-06,980.769,
1994-07,977.964,
1994-08,976.631,
1994-09,979.049,
1994-10,972.466,
1994-11,989.952,
1994-12,985.641,
1995-01,990.810,
1995-02,985.793,
1995-03,979.005,
1995-04,974.750,
1995-05,980.718,
1995-06,981.628,
1995-07,979.125,
1995-08,969.438,
1995-09,963.202,
1995-10,961.710,
1995-11,960.203,
1995-12,975.346,
1996-01,989.243,
1996-02,996.397,
1996-03,1012.808,
1996-04,1019.928,
1996-05,1027.547,
1996-06,1045.410,
1996-07,1058.668,
1996-08,1070.130,
1996-09,1091.847,
1996-10,1110.785,
1996-11,1115.503,
1996-12,1106.411,
1997-01,1142.088,
1997-02,1136.839,
1997-03,1145.960,
1997-04,1169.106,
1997-05,1192.338,
1997-06,1192.807,
1997-07,1204.289,
1997-08,1245.361,
1997-09,1251.700,
1997-10,1253.619,
1997-11,1277.073,
1997-12,1279.378,
1998-01,1275.335,
1998-02,1306.546,
1998-03,1324.822,
1998-04,1318.295,
1998-05,1321.315,
1998-06,1366.156,
1998-07,1400.274,
1998-08,1415.697,
1998-09,1429.328,
1998-10,1429.286,
1998-11,1409.841,
1998-12,1461.163,
1999-01,1476.189,
1999-02,1481.096,
1999-03,1522.298,
1999-04,1585.431,
1999-05,1611.660,
1999-06,1674.897,
1999-07,1656.007,
1999-08,1671.800,
1999-09,1719.592,
1999-10,1717.704,
1999-11,1807.963,
1999-12,1825.670,
2000-01,1815.347,
