"",BBK01.OEAC37J,BBK01.OEAC37J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:37,
2002-01,0.328,
2002-04,0.308,
2002-07,0.321,
2002-10,0.299,
2003-01,0.362,
2003-04,0.439,
2003-07,0.475,
2003-10,0.404,
2004-01,0.428,
2004-04,0.406,
2004-07,0.412,
2004-10,0.438,
2005-01,0.480,
2005-04,0.488,
2005-07,0.580,
2005-10,0.655,
2006-01,0.694,
2006-04,0.679,
2006-07,0.766,
2006-10,0.344,
2007-01,0.326,
2007-04,0.360,
2007-07,0.416,
2007-10,0.471,
2008-01,0.475,
2008-04,0.446,
2008-07,0.473,
2008-10,0.484,
2009-01,0.446,
2009-04,0.453,
2009-07,0.465,
2009-10,0.481,
2010-01,0.437,
2010-04,1.309,
2010-07,1.142,
2010-10,1.088,
2011-01,1.003,
2011-04,0.865,
2011-07,0.772,
2011-10,0.767,
2012-01,0.622,
2012-04,0.578,
2012-07,0.631,
2012-10,0.578,
2013-01,0.588,
2013-04,0.559,
2013-07,0.628,
2013-10,0.683,
2014-01,0.613,
2014-04,0.592,
2014-07,0.687,
