"",BBDA1.M.DE.Y.IM.S.GP09IS11.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS11.W1.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / Metals and metal products (new: items 24+25) / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:39,
2008-01,6.56,
2008-02,6.34,
2008-03,6.71,
2008-04,6.57,
2008-05,7.06,
2008-06,7.08,
2008-07,7.01,
2008-08,7.17,
2008-09,6.77,
2008-10,6.77,
2008-11,6.42,
2008-12,5.49,
2009-01,4.87,
2009-02,4.48,
2009-03,4.23,
2009-04,4.21,
2009-05,3.73,
2009-06,3.77,
2009-07,3.95,
2009-08,4.07,
2009-09,4.43,
2009-10,4.36,
2009-11,4.53,
2009-12,4.83,
2010-01,4.77,
2010-02,4.59,
2010-03,5.20,
2010-04,5.34,
2010-05,6.65,
2010-06,6.20,
2010-07,6.12,
2010-08,6.14,
2010-09,6.22,
2010-10,6.37,
2010-11,6.57,
2010-12,6.69,
2011-01,6.83,
2011-02,6.75,
2011-03,7.04,
2011-04,7.35,
2011-05,7.14,
2011-06,7.39,
2011-07,7.51,
2011-08,7.64,
2011-09,7.21,
2011-10,7.06,
2011-11,7.02,
2011-12,6.82,
2012-01,6.91,
2012-02,7.00,
2012-03,6.63,
2012-04,6.54,
2012-05,6.95,
2012-06,6.62,
2012-07,6.86,
2012-08,6.52,
2012-09,6.77,
2012-10,6.76,
2012-11,6.27,
2012-12,6.10,
2013-01,6.77,
2013-02,6.32,
2013-03,6.43,
2013-04,6.33,
2013-05,6.47,
2013-06,6.59,
2013-07,6.23,
2013-08,6.33,
2013-09,6.26,
2013-10,6.41,
2013-11,6.69,
2013-12,6.12,
2014-01,6.69,
2014-02,6.70,
2014-03,6.31,
2014-04,6.75,
2014-05,6.42,
2014-06,6.75,
2014-07,6.72,
2014-08,6.81,
2014-09,6.75,
2014-10,6.80,
2014-11,7.46,
2014-12,7.06,
