"",BBSF2.M.1.P.00000.HED01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.HED01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Hedgefunds / Net asset value,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:36:51,
2009-09,720,
2009-10,715,
2009-11,720,
2009-12,730,
2010-01,753,
2010-02,771,
2010-03,1029,
2010-04,1149,
2010-05,1191,
2010-06,1045,
2010-07,793,
2010-08,798,
2010-09,811,
2010-10,812,
2010-11,820,
2010-12,856,
2011-01,861,
2011-02,878,
2011-03,876,
2011-04,923,
2011-05,939,
2011-06,897,
2011-07,926,
2011-08,873,
2011-09,856,
2011-10,927,
2011-11,906,
2011-12,921,
2012-01,983,
2012-02,1002,
2012-03,1081,
2012-04,1184,
2012-05,1145,
2012-06,1135,
2012-07,1170,
2012-08,1171,
2012-09,1197,
2012-10,1199,
2012-11,1199,
2012-12,1210,
2013-01,1248,
2013-02,1296,
2013-03,1341,
2013-04,1373,
2013-05,1439,
2013-06,1400,
2013-07,1463,
2013-08,1447,
2013-09,1488,
2013-10,1556,
2013-11,1564,
2013-12,1538,
2014-01,1578,
2014-02,1614,
2014-03,1637,
2014-04,1673,
2014-05,1706,
2014-06,1709,
2014-07,1741,
2014-08,1777,
2014-09,1777,
2014-10,1814,
2014-11,1847,
