"",BBK01.OEAM07O,BBK01.OEAM07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:52,
2002-01,0.113,
2002-04,0.109,
2002-07,0.104,
2002-10,0.105,
2003-01,0.120,
2003-04,0.120,
2003-07,0.115,
2003-10,0.117,
2004-01,0.111,
2004-04,0.120,
2004-07,0.118,
2004-10,0.120,
2005-01,0.118,
2005-04,0.117,
2005-07,0.114,
2005-10,0.117,
2006-01,0.115,
2006-04,0.111,
2006-07,0.102,
2006-10,0.097,
2007-01,0.097,
2007-04,0.089,
2007-07,0.084,
2007-10,0.080,
2008-01,0.074,
2008-04,0.075,
2008-07,0.076,
2008-10,0.072,
2009-01,0.073,
2009-04,0.069,
2009-07,0.069,
2009-10,0.068,
2010-01,0.068,
2010-04,0.077,
2010-07,0.092,
2010-10,0.090,
2011-01,0.103,
2011-04,0.106,
2011-07,0.071,
2011-10,0.070,
2012-01,0.074,
2012-04,0.080,
2012-07,0.086,
2012-10,0.085,
2013-01,0.109,
2013-04,0.109,
2013-07,0.091,
2013-10,0.099,
2014-01,0.094,
2014-04,0.096,
2014-07,0.101,
