"",BBK01.OEAH35O,BBK01.OEAH35O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:00,
2002-01,-0.042,
2002-04,0.254,
2002-07,0.326,
2002-10,0.270,
2003-01,0.440,
2003-04,0.610,
2003-07,1.158,
2003-10,1.107,
2004-01,1.750,
2004-04,2.100,
2004-07,1.945,
2004-10,2.503,
2005-01,10.692,
2005-04,10.623,
2005-07,10.838,
2005-10,11.239,
2006-01,11.545,
2006-04,11.522,
2006-07,12.023,
2006-10,12.316,
2007-01,12.480,
2007-04,12.744,
2007-07,12.847,
2007-10,13.191,
2008-01,13.632,
2008-04,13.712,
2008-07,9.554,
2008-10,9.782,
2009-01,11.109,
2009-04,11.126,
2009-07,11.260,
2009-10,11.722,
2010-01,11.217,
2010-04,11.180,
2010-07,10.890,
2010-10,10.490,
2011-01,10.064,
2011-04,9.961,
2011-07,9.883,
2011-10,9.469,
2012-01,9.218,
2012-04,8.823,
2012-07,8.781,
2012-10,8.557,
2013-01,8.392,
2013-04,8.083,
2013-07,7.622,
2013-10,7.594,
2014-01,7.459,
2014-04,7.356,
2014-07,7.017,
