"",BBK01.OEAH47H,BBK01.OEAH47H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:01,
2002-01,0.210,
2002-04,0.219,
2002-07,0.222,
2002-10,0.238,
2003-01,0.231,
2003-04,0.219,
2003-07,0.213,
2003-10,0.237,
2004-01,0.240,
2004-04,0.225,
2004-07,0.225,
2004-10,0.276,
2005-01,0.250,
2005-04,0.244,
2005-07,0.244,
2005-10,0.241,
2006-01,0.257,
2006-04,0.263,
2006-07,0.285,
2006-10,0.311,
2007-01,0.323,
2007-04,0.351,
2007-07,0.401,
2007-10,0.559,
2008-01,0.747,
2008-04,0.800,
2008-07,0.875,
2008-10,0.911,
2009-01,0.737,
2009-04,0.688,
2009-07,0.726,
2009-10,0.785,
2010-01,0.733,
2010-04,0.681,
2010-07,0.641,
2010-10,0.643,
2011-01,0.635,
2011-04,0.610,
2011-07,0.595,
2011-10,0.597,
2012-01,0.581,
2012-04,0.581,
2012-07,0.538,
2012-10,0.470,
2013-01,0.407,
2013-04,0.397,
2013-07,0.397,
2013-10,0.437,
2014-01,0.394,
2014-04,0.378,
2014-07,0.334,
