"",BBDE1.M.DE.Y.AED1.A2P320000.F.V.I10.A,BBDE1.M.DE.Y.AED1.A2P320000.F.V.I10.A_FLAGS
"","Orders received from abroad, Euro-area countries / At current prices / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:21,
2003-01,89.5,
2003-02,83.9,
2003-03,82.5,
2003-04,89.1,
2003-05,76.6,
2003-06,91.3,
2003-07,80.9,
2003-08,84.7,
2003-09,82.1,
2003-10,83.3,
2003-11,81.0,
2003-12,77.6,
2004-01,85.6,
2004-02,83.0,
2004-03,86.8,
2004-04,89.2,
2004-05,90.7,
2004-06,91.4,
2004-07,95.4,
2004-08,91.3,
2004-09,99.1,
2004-10,93.7,
2004-11,83.9,
2004-12,90.4,
2005-01,92.3,
2005-02,91.4,
2005-03,96.8,
2005-04,94.0,
2005-05,96.6,
2005-06,92.8,
2005-07,103.7,
2005-08,101.0,
2005-09,102.5,
2005-10,106.7,
2005-11,112.3,
2005-12,118.3,
2006-01,110.5,
2006-02,111.7,
2006-03,108.5,
2006-04,113.3,
2006-05,108.3,
2006-06,104.3,
2006-07,104.2,
2006-08,112.1,
2006-09,107.1,
2006-10,109.4,
2006-11,111.5,
2006-12,117.4,
2007-01,120.9,
2007-02,127.4,
2007-03,123.2,
2007-04,121.4,
2007-05,127.9,
2007-06,158.3,
2007-07,123.4,
2007-08,126.0,
2007-09,130.5,
2007-10,139.5,
2007-11,146.5,
2007-12,141.4,
2008-01,136.3,
2008-02,135.2,
2008-03,129.9,
2008-04,120.5,
2008-05,128.4,
2008-06,111.4,
2008-07,125.7,
2008-08,106.5,
2008-09,102.4,
2008-10,91.4,
2008-11,90.9,
2008-12,67.2,
2009-01,69.9,
2009-02,72.9,
2009-03,78.7,
2009-04,72.7,
2009-05,73.2,
2009-06,80.1,
2009-07,79.2,
2009-08,76.6,
2009-09,91.6,
2009-10,80.6,
2009-11,86.6,
2009-12,79.8,
2010-01,86.5,
2010-02,84.8,
2010-03,99.4,
2010-04,98.1,
2010-05,95.0,
2010-06,106.9,
2010-07,100.7,
2010-08,117.5,
2010-09,101.6,
2010-10,101.9,
2010-11,99.9,
2010-12,105.5,
2011-01,108.1,
2011-02,110.1,
2011-03,110.8,
2011-04,117.6,
2011-05,105.4,
2011-06,124.7,
2011-07,112.9,
2011-08,117.6,
2011-09,102.9,
2011-10,113.9,
2011-11,105.3,
2011-12,97.4,
2012-01,95.5,
2012-02,96.6,
2012-03,93.5,
2012-04,92.4,
2012-05,100.6,
2012-06,94.1,
2012-07,94.5,
2012-08,98.2,
2012-09,88.8,
2012-10,94.1,
2012-11,90.4,
2012-12,95.7,
2013-01,95.8,
2013-02,94.6,
2013-03,98.9,
2013-04,95.2,
2013-05,90.4,
2013-06,112.9,
2013-07,98.6,
2013-08,94.0,
2013-09,111.4,
2013-10,105.7,
2013-11,103.6,
2013-12,121.9,
2014-01,98.0,
2014-02,110.3,
2014-03,93.7,
2014-04,104.1,
2014-05,120.3,
2014-06,99.2,
2014-07,112.1,
2014-08,100.8,
2014-09,104.7,
2014-10,102.2,
2014-11,112.5,
2014-12,123.1,Provisional value
