"",BBK01.OEAH90H,BBK01.OEAH90H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:16,
2002-01,0.375,
2002-04,0.529,
2002-07,0.498,
2002-10,0.332,
2003-01,0.270,
2003-04,0.277,
2003-07,0.545,
2003-10,0.501,
2004-01,0.531,
2004-04,0.387,
2004-07,0.343,
2004-10,0.193,
2005-01,0.163,
2005-04,0.176,
2005-07,0.197,
2005-10,0.126,
2006-01,0.159,
2006-04,0.160,
2006-07,0.278,
2006-10,0.395,
2007-01,0.437,
2007-04,0.597,
2007-07,0.532,
2007-10,0.571,
2008-01,0.510,
2008-04,0.760,
2008-07,0.787,
2008-10,0.516,
2009-01,0.522,
2009-04,0.151,
2009-07,0.140,
2009-10,0.111,
2010-01,0.129,
2010-04,0.133,
2010-07,0.208,
2010-10,0.208,
2011-01,0.206,
2011-04,0.397,
2011-07,1.062,
2011-10,0.995,
2012-01,0.754,
2012-04,0.439,
2012-07,0.406,
2012-10,0.305,
2013-01,0.376,
2013-04,0.261,
2013-07,0.241,
2013-10,1.042,
2014-01,1.075,
2014-04,1.649,
2014-07,3.165,
