"",BBK01.OEAC19I,BBK01.OEAC19I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:39,
2002-01,0.684,
2002-04,0.603,
2002-07,0.624,
2002-10,0.512,
2003-01,0.416,
2003-04,0.412,
2003-07,0.390,
2003-10,0.333,
2004-01,0.357,
2004-04,0.326,
2004-07,0.333,
2004-10,0.291,
2005-01,0.362,
2005-04,0.362,
2005-07,0.375,
2005-10,0.307,
2006-01,0.321,
2006-04,0.304,
2006-07,0.303,
2006-10,0.275,
2007-01,0.242,
2007-04,0.244,
2007-07,0.240,
2007-10,0.202,
2008-01,0.237,
2008-04,0.240,
2008-07,0.258,
2008-10,0.254,
2009-01,0.513,
2009-04,0.459,
2009-07,0.465,
2009-10,0.537,
2010-01,0.584,
2010-04,0.621,
2010-07,0.690,
2010-10,0.703,
2011-01,0.603,
2011-04,0.524,
2011-07,0.501,
2011-10,0.433,
2012-01,0.427,
2012-04,0.420,
2012-07,0.423,
2012-10,0.321,
2013-01,0.341,
2013-04,0.335,
2013-07,0.414,
2013-10,0.392,
2014-01,0.434,
2014-04,0.328,
2014-07,0.298,
