"",BBDA1.M.DE.Y.EX.S.A.S1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.S1.A.V.ABA.A_FLAGS
"","Germany / Exports / At current prices, flows / Aggregate / all goods / Asia / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:25,
1993-01,3.33,
1993-02,3.48,
1993-03,3.12,
1993-04,3.24,
1993-05,3.11,
1993-06,3.25,
1993-07,3.15,
1993-08,3.31,
1993-09,3.18,
1993-10,3.54,
1993-11,3.43,
1993-12,3.65,
1994-01,3.82,
1994-02,3.38,
1994-03,3.48,
1994-04,3.99,
1994-05,4.20,
1994-06,3.82,
1994-07,3.60,
1994-08,3.92,
1994-09,3.79,
1994-10,3.65,
1994-11,3.91,
1994-12,4.05,
1995-01,3.91,
1995-02,4.03,
1995-03,3.93,
1995-04,3.90,
1995-05,4.05,
1995-06,3.98,
1995-07,4.01,
1995-08,3.92,
1995-09,4.00,
1995-10,4.16,
1995-11,4.29,
1995-12,4.38,
1996-01,4.11,
1996-02,4.33,
1996-03,4.15,
1996-04,4.43,
1996-05,4.17,
1996-06,4.11,
1996-07,4.27,
1996-08,4.17,
1996-09,4.33,
1996-10,4.67,
1996-11,4.60,
1996-12,4.40,
1997-01,4.48,
1997-02,4.38,
1997-03,4.68,
1997-04,4.69,
1997-05,4.65,
1997-06,4.63,
1997-07,4.59,
1997-08,4.47,
1997-09,4.92,
1997-10,4.51,
1997-11,4.53,
1997-12,4.58,
1998-01,4.62,
1998-02,4.12,
1998-03,4.21,
1998-04,4.33,
1998-05,4.25,
1998-06,3.83,
1998-07,3.87,
1998-08,3.88,
1998-09,3.79,
1998-10,3.65,
1998-11,3.73,
1998-12,3.67,
1999-01,3.78,
1999-02,3.89,
1999-03,4.21,
1999-04,3.94,
1999-05,4.08,
1999-06,4.26,
1999-07,4.32,
1999-08,3.71,
1999-09,4.16,
1999-10,4.08,
1999-11,4.50,
1999-12,4.33,
2000-01,4.41,
2000-02,4.58,
2000-03,4.85,
2000-04,4.80,
2000-05,4.98,
2000-06,5.43,
2000-07,5.26,
2000-08,5.51,
2000-09,5.56,
2000-10,6.06,
2000-11,5.68,
2000-12,5.72,
2001-01,5.72,
2001-02,5.62,
2001-03,5.87,
2001-04,5.86,
2001-05,5.92,
2001-06,5.82,
2001-07,5.75,
2001-08,5.88,
2001-09,5.48,
2001-10,5.84,
2001-11,5.60,
2001-12,6.06,
2002-01,5.65,
2002-02,5.95,
2002-03,6.17,
2002-04,6.23,
2002-05,5.86,
2002-06,6.44,
2002-07,5.67,
2002-08,6.11,
2002-09,6.38,
2002-10,6.21,
2002-11,6.42,
2002-12,6.42,
2003-01,6.33,
2003-02,6.36,
2003-03,5.80,
2003-04,6.27,
2003-05,6.46,
2003-06,6.32,
2003-07,6.28,
2003-08,6.50,
2003-09,6.55,
2003-10,6.01,
2003-11,6.63,
2003-12,6.61,
2004-01,7.21,
2004-02,7.00,
2004-03,6.85,
2004-04,7.27,
2004-05,7.63,
2004-06,7.17,
2004-07,7.24,
2004-08,6.76,
2004-09,6.57,
2004-10,6.84,
2004-11,6.70,
2004-12,6.86,
2005-01,8.09,
2005-02,6.96,
2005-03,7.09,
2005-04,6.99,
2005-05,7.33,
2005-06,7.25,
2005-07,7.62,
2005-08,8.31,
2005-09,7.84,
2005-10,7.64,
2005-11,7.33,
2005-12,7.59,
2006-01,8.61,
2006-02,8.85,
2006-03,7.84,
2006-04,8.80,
2006-05,7.98,
2006-06,8.05,
2006-07,8.56,
2006-08,8.87,
