"",BBFI1.Q.N.DE.W1.S1P.S1.LE.A.FA.P.F3.S._T.M.N,BBFI1.Q.N.DE.W1.S1P.S1.LE.A.FA.P.F3.S._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Short-term original maturity (up to 1 year incl. incl.) - Assets - Positions - resident holder: Other sectors than MFIs and general government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:08:29,
1999-10,2244,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,1470,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,1199,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,3406,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,4275,
2004-01,3853,
2004-04,6450,
2004-07,6417,
2004-10,5690,
2005-01,6248,
2005-04,6114,
2005-07,4747,
2005-10,4927,
2006-01,4148,
2006-04,3236,
2006-07,4963,
2006-10,4304,
2007-01,5419,
2007-04,6955,
2007-07,5123,
2007-10,7051,
2008-01,10306,
2008-04,8956,
2008-07,6856,
2008-10,5962,
2009-01,8411,
2009-04,8484,
2009-07,7303,
2009-10,6241,
2010-01,6388,
2010-04,5758,
2010-07,6776,
2010-10,6181,
2011-01,6031,
2011-04,6566,
2011-07,7855,
2011-10,9515,
2012-01,9733,
2012-04,11132,
2012-07,11999,
2012-10,11145,
2013-01,12259,
2013-04,11315,
2013-07,11046,
2013-10,11226,
2014-01,15184,
2014-04,13778,
2014-07,12669,
