"",BBFN1.M.DE.N.1.L.O1.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.O1.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Countries in Oceania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:23,
1995-01,0.006,
1995-02,0.006,
1995-03,0.005,
1995-04,0.005,
1995-05,0.005,
1995-06,0.005,
1995-07,0.006,
1995-08,0.006,
1995-09,0.006,
1995-10,0.015,
1995-11,0.021,
1995-12,0.019,
1996-01,0.019,
1996-02,0.019,
1996-03,0.019,
1996-04,0.020,
1996-05,0.020,
1996-06,0.042,
1996-07,0.041,
1996-08,0.041,
1996-09,0.035,
1996-10,0.035,
1996-11,0.035,
1996-12,0.020,
1997-01,0.028,
1997-02,0.028,
1997-03,0.035,
1997-04,0.034,
1997-05,0.036,
1997-06,0.035,
1997-07,0.034,
1997-08,0.034,
1997-09,0.034,
1997-10,0.033,
1997-11,0.033,
1997-12,0.033,
1998-01,0.033,
1998-02,0.033,
1998-03,0.033,
1998-04,0.032,
1998-05,0.038,
1998-06,0.038,
1998-07,0.038,
1998-08,0.038,
1998-09,0.038,
1998-10,0.036,
1998-11,0.036,
1998-12,0.038,
1999-01,0.040,
1999-02,0.040,
1999-03,0.039,
1999-04,0.038,
1999-05,0.038,
1999-06,0.038,
1999-07,0.038,
1999-08,0.038,
1999-09,0.038,
1999-10,0.034,
1999-11,0.045,
1999-12,0.035,
2000-01,0.028,
2000-02,0.050,
2000-03,0.050,
2000-04,0.049,
2000-05,0.048,
2000-06,0.048,
2000-07,0.048,
2000-08,0.048,
2000-09,0.035,
2000-10,0.028,
2000-11,0.026,
2000-12,0.026,
2001-01,0.026,
2001-02,0.026,
2001-03,0.025,
2001-04,0.024,
2001-05,0.025,
2001-06,0.030,
2001-07,0.019,
2001-08,0.019,
2001-09,0.019,
2001-10,0.018,
2001-11,0.018,
2001-12,0.028,
2002-01,0.041,
2002-02,0.041,
2002-03,0.041,
2002-04,0.050,
2002-05,0.050,
2002-06,0.050,
2002-07,0.050,
2002-08,0.050,
2002-09,0.050,
2002-10,0.048,
2002-11,0.048,
2002-12,0.045,
2003-01,0.039,
2003-02,0.039,
2003-03,0.056,
2003-04,0.055,
2003-05,0.055,
2003-06,0.055,
2003-07,0.055,
2003-08,0.055,
2003-09,0.055,
2003-10,0.055,
2003-11,0.053,
2003-12,0.056,
2004-01,0.055,
2004-02,0.058,
2004-03,0.054,
2004-04,0.054,
2004-05,0.053,
2004-06,0.054,
2004-07,0.053,
2004-08,0.054,
2004-09,0.037,
2004-10,0.047,
2004-11,0.054,
2004-12,0.056,
2005-01,0.193,
2005-02,0.195,
2005-03,0.046,
2005-04,0.045,
2005-05,0.044,
2005-06,0.044,
2005-07,0.041,
2005-08,0.041,
2005-09,0.098,
2005-10,0.097,
2005-11,0.098,
2005-12,0.343,
2006-01,0.100,
2006-02,0.145,
2006-03,0.146,
2006-04,0.145,
2006-05,0.145,
2006-06,0.146,
2006-07,0.146,
2006-08,0.146,
2006-09,0.137,
2006-10,0.136,
2006-11,0.136,
2006-12,0.140,
2007-01,0.140,
2007-02,0.177,
2007-03,0.141,
2007-04,0.141,
2007-05,0.141,
2007-06,0.142,
2007-07,0.142,
2007-08,0.141,
2007-09,0.143,
2007-10,0.143,
2007-11,0.143,
2007-12,0.136,
2008-01,0.213,
2008-02,0.214,
2008-03,0.215,
2008-04,0.215,
2008-05,0.215,
2008-06,0.217,
2008-07,0.217,
2008-08,0.273,
2008-09,0.269,
2008-10,0.269,
2008-11,0.269,
2008-12,0.267,
2009-01,0.277,
2009-02,0.275,
2009-03,0.259,
2009-04,0.260,
2009-05,0.259,
2009-06,0.260,
2009-07,0.257,
2009-08,0.257,
2009-09,0.258,
2009-10,0.258,
2009-11,0.275,
2009-12,0.300,
2010-01,0.334,
2010-02,0.324,
2010-03,0.297,
2010-04,0.282,
2010-05,0.293,
2010-06,0.293,
2010-07,0.294,
2010-08,0.304,
2010-09,0.304,
2010-10,0.280,
2010-11,0.297,
2010-12,0.300,
2011-01,0.293,
2011-02,0.294,
2011-03,0.291,
2011-04,0.291,
2011-05,0.291,
2011-06,0.291,
2011-07,0.294,
2011-08,0.295,
2011-09,0.312,
2011-10,0.327,
2011-11,0.350,
2011-12,0.411,
2012-01,0.408,
2012-02,0.391,
2012-03,0.613,
2012-04,0.374,
2012-05,0.387,
2012-06,0.354,
2012-07,0.386,
2012-08,0.391,
2012-09,0.396,
2012-10,0.463,
2012-11,0.423,
2012-12,0.395,
2013-01,0.391,
2013-02,0.408,
2013-03,0.426,
2013-04,0.391,
2013-05,0.430,
2013-06,0.440,
2013-07,0.444,
2013-08,0.399,
2013-09,0.396,
2013-10,0.373,
2013-11,0.369,
2013-12,0.373,
2014-01,0.359,
2014-02,0.356,
2014-03,0.310,
2014-04,0.301,
2014-05,0.302,
2014-06,0.366,
2014-07,0.538,
2014-08,0.539,
2014-09,0.494,
2014-10,0.482,
2014-11,0.484,
2014-12,0.555,
