"",BBDA1.M.DE.N.IM.S.A.P0.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.P0.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / Aggregate / all goods / OECD countries (evolving composition) / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:57,
1990-07,19955245,
1990-08,18250845,
1990-09,18671230,
1990-10,22918922,
1990-11,23452108,
1990-12,20675449,
1991-01,23390078,
1991-02,21051547,
1991-03,22856000,
1991-04,23672874,
1991-05,23514303,
1991-06,22799213,
1991-07,24933143,
1991-08,19839819,
1991-09,21455795,
1991-10,24643385,
1991-11,23269540,
1991-12,21674141,
1992-01,22928198,
1992-02,22459954,
1992-03,25063509,
1992-04,25153553,
1992-05,21920042,
1992-06,21081779,
1992-07,25210291,
1992-08,17947469,
1992-09,21200830,
1992-10,23928778,
1992-11,22398677,
1992-12,23401589,
1993-01,18043450,
1993-02,20197031,
1993-03,21388058,
1993-04,20906977,
1993-05,19396123,
1993-06,20054496,
1993-07,19548440,
1993-08,18278319,
1993-09,20214654,
1993-10,20457119,
1993-11,21157635,
1993-12,21619879,
1994-01,18492922,
1994-02,19897202,
1994-03,23828042,
1994-04,21248442,
1994-05,22666726,
1994-06,22395278,
1994-07,21399518,
1994-08,19766484,
1994-09,22493110,
1994-10,22740691,
1994-11,23019996,
1994-12,24887676,
1995-01,21442780,
1995-02,23122965,
1995-03,26829277,
1995-04,22775921,
1995-05,24412302,
1995-06,25046460,
1995-07,23268693,
1995-08,20936597,
1995-09,24064079,
1995-10,24870544,
1995-11,24587045,
1995-12,24712116,
1996-01,24636074,
1996-02,23361979,
1996-03,25669175,
1996-04,25238381,
1996-05,23938968,
1996-06,24611150,
1996-07,25192169,
1996-08,21336808,
1996-09,23881487,
1996-10,27110166,
1996-11,25734440,
1996-12,25483432,
1997-01,25122598,
1997-02,25649797,
1997-03,26551868,
1997-04,27304659,
1997-05,26885282,
1997-06,28387638,
1997-07,28979756,
1997-08,24734519,
1997-09,27417221,
1997-10,30672838,
1997-11,29036848,
1997-12,28340462,
1998-01,29220846,
1998-02,28618640,
1998-03,30762473,
1998-04,31881166,
1998-05,27786959,
1998-06,31605579,
1998-07,31198740,
1998-08,26300442,
1998-09,28283035,
1998-10,31222905,
1998-11,29519375,
1998-12,30631523,
1999-01,26690037,
1999-02,28746355,
1999-03,32453421,
1999-04,30763839,
1999-05,31405515,
1999-06,32343436,
1999-07,31142133,
1999-08,29787539,
1999-09,30849489,
1999-10,32631003,
1999-11,34314257,
1999-12,32785316,
2000-01,31923875,
2000-02,32466705,
2000-03,38513250,
2000-04,33140210,
2000-05,39367281,
2000-06,35381994,
2000-07,35968427,
2000-08,35374513,
2000-09,35827535,
2000-10,40577390,
2000-11,42701765,
2000-12,39834079,
2001-01,37352203,
2001-02,36777360,
2001-03,38492686,
2001-04,38823453,
2001-05,38864123,
2001-06,38154559,
2001-07,37493859,
2001-08,34440886,
2001-09,34415185,
2001-10,39201204,
2001-11,38965613,
2001-12,32769509,
2002-01,32321122,
2002-02,34144120,
2002-03,34765346,
2002-04,37648770,
2002-05,33152052,
2002-06,37936087,
2002-07,35074215,
2002-08,33199032,
2002-09,35404108,
2002-10,38399944,
2002-11,38273699,
2002-12,35101543,
2003-01,35320790,
2003-02,35539727,
2003-03,38127860,
2003-04,36469084,
2003-05,36421426,
2003-06,36061859,
2003-07,35728922,
2003-08,31979482,
2003-09,35749154,
2003-10,38501319,
2003-11,39336062,
2003-12,35688792,
2004-01,35023862,
2004-02,36012198,
2004-03,39611730,
2004-04,38505767,
2004-05,37779164,
2004-06,38829382,
2004-07,39182052,
2004-08,35478376,
2004-09,39050736,
2004-10,40334098,
2004-11,43405732,
2004-12,38584666,
2005-01,37393397,
2005-02,36637313,
2005-03,39162671,
2005-04,41523264,
2005-05,41108431,
