"",BBK01.OEAA07U,BBK01.OEAA07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:42,
2002-01,19.783,
2002-04,19.918,
2002-07,19.963,
2002-10,20.361,
2003-01,20.234,
2003-04,20.288,
2003-07,20.316,
2003-10,20.443,
2004-01,20.340,
2004-04,19.885,
2004-07,19.995,
2004-10,20.149,
2005-01,20.542,
2005-04,20.424,
2005-07,20.486,
2005-10,20.516,
2006-01,20.473,
2006-04,20.557,
2006-07,20.719,
2006-10,20.717,
2007-01,20.606,
2007-04,20.662,
2007-07,20.621,
2007-10,20.991,
2008-01,20.620,
2008-04,20.625,
2008-07,20.721,
2008-10,20.867,
2009-01,20.708,
2009-04,21.721,
2009-07,21.903,
2009-10,22.036,
2010-01,22.042,
2010-04,22.168,
2010-07,22.297,
2010-10,22.406,
2011-01,22.443,
2011-04,22.622,
2011-07,22.700,
2011-10,22.732,
2012-01,22.815,
2012-04,23.309,
2012-07,23.452,
2012-10,23.558,
2013-01,24.174,
2013-04,24.584,
2013-07,24.927,
2013-10,25.286,
2014-01,25.568,
2014-04,25.840,
2014-07,25.868,
