"",BBK01.OEAD24G,BBK01.OEAD24G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:35,
2002-01,0.108,
2002-04,0.102,
2002-07,0.124,
2002-10,0.156,
2003-01,0.153,
2003-04,0.148,
2003-07,0.128,
2003-10,0.105,
2004-01,0.101,
2004-04,0.101,
2004-07,0.098,
2004-10,0.123,
2005-01,0.119,
2005-04,0.087,
2005-07,0.079,
2005-10,0.077,
2006-01,0.075,
2006-04,0.088,
2006-07,0.087,
2006-10,0.080,
2007-01,0.076,
2007-04,0.077,
2007-07,0.124,
2007-10,0.091,
2008-01,0.076,
2008-04,0.077,
2008-07,0.173,
2008-10,0.171,
2009-01,0.172,
2009-04,0.080,
2009-07,0.075,
2009-10,0.064,
2010-01,0.060,
2010-04,0.066,
2010-07,0.059,
2010-10,0.073,
2011-01,0.074,
2011-04,0.061,
2011-07,0.071,
2011-10,0.165,
2012-01,0.161,
2012-04,0.164,
2012-07,0.166,
2012-10,0.172,
2013-01,0.172,
2013-04,0.150,
2013-07,0.149,
2013-10,0.161,
2014-01,0.161,
2014-04,0.162,
2014-07,0.160,
