"",BBK01.OEHI01H,BBK01.OEHI01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:26,
2002-01,103.968,
2002-04,103.672,
2002-07,103.620,
2002-10,106.204,
2003-01,105.735,
2003-04,105.321,
2003-07,105.138,
2003-10,106.967,
2004-01,105.968,
2004-04,105.702,
2004-07,105.706,
2004-10,107.924,
2005-01,107.200,
2005-04,107.432,
2005-07,107.464,
2005-10,109.803,
2006-01,109.068,
2006-04,109.416,
2006-07,109.865,
2006-10,112.316,
2007-01,111.348,
2007-04,112.438,
2007-07,113.212,
2007-10,116.267,
2008-01,114.720,
2008-04,115.181,
2008-07,115.617,
2008-10,121.249,
2009-01,120.751,
2009-04,120.827,
2009-07,121.470,
2009-10,125.754,
2010-01,125.180,
2010-04,126.027,
2010-07,127.447,
2010-10,130.183,
2011-01,128.811,
2011-04,128.896,
2011-07,129.421,
2011-10,133.187,
2012-01,132.355,
2012-04,133.492,
2012-07,135.449,
2012-10,137.327,
2013-01,136.427,
2013-04,137.041,
2013-07,138.547,
2013-10,140.840,
2014-01,139.430,
2014-04,140.512,
2014-07,141.653,
