"",BBK01.OEAC60Q,BBK01.OEAC60Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:12,
2002-01,3.493,
2002-04,3.478,
2002-07,3.454,
2002-10,3.468,
2003-01,3.603,
2003-04,3.825,
2003-07,3.808,
2003-10,4.040,
2004-01,4.021,
2004-04,3.147,
2004-07,3.069,
2004-10,3.078,
2005-01,3.055,
2005-04,3.086,
2005-07,3.078,
2005-10,3.116,
2006-01,3.054,
2006-04,2.967,
2006-07,3.374,
2006-10,2.885,
2007-01,2.650,
2007-04,2.549,
2007-07,2.419,
2007-10,2.469,
2008-01,2.369,
2008-04,2.377,
2008-07,2.404,
2008-10,2.401,
2009-01,2.368,
2009-04,2.427,
2009-07,2.510,
2009-10,2.533,
2010-01,2.878,
2010-04,2.923,
2010-07,2.730,
2010-10,2.653,
2011-01,2.615,
2011-04,2.504,
2011-07,2.371,
2011-10,2.399,
2012-01,2.372,
2012-04,2.347,
2012-07,2.314,
2012-10,2.347,
2013-01,2.325,
2013-04,2.295,
2013-07,2.274,
2013-10,2.264,
2014-01,2.262,
2014-04,2.209,
2014-07,2.192,
