"",BBK01.OECK04O,BBK01.OECK04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:59,
2002-01,0.142,
2002-04,0.126,
2002-07,0.137,
2002-10,0.116,
2003-01,0.110,
2003-04,0.094,
2003-07,0.103,
2003-10,0.067,
2004-01,0.077,
2004-04,0.088,
2004-07,0.078,
2004-10,0.079,
2005-01,0.069,
2005-04,0.073,
2005-07,0.063,
2005-10,0.063,
2006-01,0.050,
2006-04,0.074,
2006-07,0.092,
2006-10,0.112,
2007-01,0.114,
2007-04,0.115,
2007-07,0.149,
2007-10,0.167,
2008-01,0.178,
2008-04,0.190,
2008-07,0.212,
2008-10,0.215,
2009-01,0.172,
2009-04,0.139,
2009-07,0.099,
2009-10,0.091,
2010-01,0.079,
2010-04,0.089,
2010-07,0.085,
2010-10,0.072,
2011-01,0.061,
2011-04,0.052,
2011-07,0.053,
2011-10,0.048,
2012-01,0.044,
2012-04,0.040,
2012-07,0.023,
2012-10,0.012,
2013-01,0.010,
2013-04,0.009,
2013-07,0.010,
2013-10,0.007,
2014-01,0.008,
2014-04,0.019,
2014-07,0.018,
