"",BBEX3.M.ARS.EUR.CA.AA.A01,BBEX3.M.ARS.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Argentina / EUR 1 = ARS ... (buying),
unit,ARS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:42,
2002-02,1.7802,
2002-03,2.5317,
2002-04,2.5920,
2002-05,3.2554,
2002-06,3.6637,
2002-07,3.5222,
2002-08,3.4633,
2002-09,3.5923,
2002-10,3.3839,
2002-11,3.5170,
2002-12,3.4338,
2003-01,3.3364,
2003-02,3.3326,
2003-03,3.1064,
2003-04,3.0358,
2003-05,3.2406,
2003-06,3.0993,
2003-07,3.1666,
2003-08,3.1325,
2003-09,3.2783,
2003-10,3.2052,
2003-11,3.4651,
2003-12,3.6204,
2004-01,3.5987,
2004-02,3.5951,
2004-03,3.4666,
2004-04,3.3544,
2004-05,3.5589,
2004-06,3.5492,
2004-07,3.5318,
2004-08,3.6013,
2004-09,3.6551,
2004-10,3.7475,
2004-11,3.8567,
2004-12,4.0044,
2005-01,3.7636,
2005-02,3.8404,
2005-03,3.7318,
2005-04,3.6923,
2005-05,3.4989,
2005-06,3.4397,
2005-07,3.4230,
2005-08,3.5417,
2005-09,3.4497,
2005-10,3.5517,
2005-11,3.4474,
2005-12,3.5392,
2006-01,3.6857,
2006-02,3.6177,
2006-03,3.6875,
2006-04,3.7997,
2006-05,3.9073,
2006-06,3.8916,
2006-07,3.8725,
2006-08,3.9096,
2006-09,3.8861,
2006-10,3.8966,
2006-11,4.0136,
2006-12,3.9860,
2007-01,3.9889,
2007-02,4.0465,
2007-03,4.0915,
2007-04,4.1663,
2007-05,4.0832,
2007-06,4.1298,
2007-07,4.2173,
2007-08,4.2468,
2007-09,4.4355,
2007-10,4.4867,
2007-11,4.5634,
2007-12,4.5724,
2008-01,4.6203,
2008-02,4.7424,
2008-03,4.9454,
2008-04,4.8619,
2008-05,4.7589,
2008-06,4.7011,
2008-07,4.6826,
2008-08,4.3827,
2008-09,4.3550,
2008-10,4.2677,
2008-11,4.2269,
2008-12,4.7349,
2009-01,4.4169,
2009-02,4.4666,
2009-03,4.8742,
2009-04,4.8629,
2009-05,5.2349,
2009-06,5.2677,
2009-07,5.4049,
2009-08,5.4634,
2009-09,5.5687,
2009-10,5.5695,
2009-11,5.6501,
2009-12,5.3952,
2010-01,5.2678,
2010-02,5.1965,
2010-03,5.1932,
2010-04,5.1128,
2010-05,4.7839,
2010-06,4.7688,
2010-07,5.0903,
2010-08,4.9618,
2010-09,5.3379,
2010-10,5.4485,
2010-11,5.1415,
2010-12,5.2191,
2011-01,5.4334,
2011-02,5.5026,
2011-03,5.6959,
2011-04,5.9909,
2011-05,5.8211,
2011-06,5.9060,
2011-07,5.9009,
2011-08,5.9775,
2011-09,5.6028,
2011-10,5.8517,
2011-11,5.7012,
2011-12,5.5338,
2012-01,5.6149,
2012-02,5.7645,
2012-03,5.7852,
2012-04,5.7991,
2012-05,5.4732,
2012-06,5.6743,
2012-07,5.5904,
2012-08,5.7765,
2012-09,5.9842,
2012-10,6.1235,
2012-11,6.2326,
2012-12,6.4390,
2013-01,6.6974,
2013-02,6.5463,
2013-03,6.4862,
2013-04,6.7657,
2013-05,6.7952,
2013-06,6.9492,
2013-07,7.2553,
2013-08,7.4348,
2013-09,7.7781,
2013-10,7.9777,
2013-11,8.2919,
2013-12,8.9399,
2014-01,10.6079,
2014-02,10.7320,
2014-03,10.8708,
2014-04,10.9482,
2014-05,10.8775,
2014-06,10.9908,
2014-07,10.8544,
2014-08,10.9009,
2014-09,10.5100,
2014-10,10.5160,
2014-11,10.4668,
2014-12,10.2646,
2015-01,9.6393,
"","Source: Banco de la Nación Argentina, Buenos Aires.",
