"",BBEX3.M.MRO.EUR.CA.AB.A01,BBEX3.M.MRO.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Mauritania / EUR 1 = MRO ... (selling),
unit,MRO (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:18,
1999-01,236.31,
1999-02,228.73,
1999-03,225.73,
1999-04,221.92,
1999-05,217.33,
1999-06,216.64,
1999-07,220.60,
1999-08,223.33,
1999-09,222.61,
1999-10,226.76,
1999-11,222.17,
1999-12,227.67,
2000-01,225.01,
2000-02,229.94,
2000-03,224.01,
2000-04,219.36,
2000-05,226.81,
2000-06,227.97,comment
2000-07,224.34,
2000-08,217.16,
2000-09,221.45,comment
2000-10,212.05,
2000-11,218.27,
2000-12,237.61,
2001-01,234.00,
2001-02,234.99,
2001-03,225.09,
2001-04,226.44,
2001-05,217.35,
2001-06,219.92,
2001-07,224.97,
2001-08,234.91,
2001-09,234.39,
2001-10,235.03,
2001-11,233.36,comment
2001-12,234.07,
2002-01,231.25,
2002-02,238.05,
2002-03,241.13,
2002-04,249.45,
2002-05,258.47,
2002-06,270.43,
2002-07,269.42,
2002-08,267.59,
2002-09,264.87,
2002-10,264.67,
2002-11,267.59,
2002-12,269.77,
2003-01,271.80,
2003-02,271.80,
2003-03,272.92,
2003-04,278.84,
2003-05,290.75,
2003-06,291.38,
2003-07,292.98,
2003-08,290.20,
2003-09,294.56,
2003-10,301.00,
2003-11,302.36,
2003-12,306.12,
2004-01,311.92,
2004-02,320.62,
2004-03,325.94,
2004-04,317.68,
2004-05,325.98,
2004-06,326.22,
2004-07,324.14,
2004-08,323.33,
2004-09,329.10,
2004-10,338.69,
2004-11,348.78,
2004-12,350.26,
2005-01,339.67,
2005-02,346.41,
2005-03,343.77,
2005-04,344.14,
2005-05,330.03,
2005-06,321.74,
2005-07,323.99,
2005-08,326.57,
2005-09,322.40,
2005-10,326.38,
2005-11,319.05,
2005-12,321.02,
2006-01,327.70,
2006-02,320.86,
2006-03,328.03,
2006-04,339.56,
2006-05,347.89,
2006-06,343.94,
2006-07,345.00,
2006-08,347.60,
2006-09,342.75,
2006-10,343.35,
2006-11,356.78,
2006-12,356.20,
2007-01,350.19,
2007-02,357.94,
2007-03,360.69,
2007-04,360.59,
2007-05,348.79,
2007-06,349.86,
2007-07,350.34,
2007-08,351.36,
2007-09,366.15,
2007-10,367.87,
2007-11,368.85,
2007-12,368.56,
2008-01,372.45,
2008-02,381.44,
2008-03,385.37,
2008-04,375.37,
2008-05,376.38,
2008-06,369.10,
2008-07,355.34,
2008-08,341.25,
2008-09,341.10,
2008-10,321.53,
2008-11,331.22,
2008-12,372.78,
2009-01,343.46,
2009-02,333.96,
2009-03,351.58,
2009-04,356.38,
2009-05,372.31,
2009-06,373.96,
2009-07,371.56,
2009-08,372.35,
2009-09,380.31,
2009-10,388.09,
2009-11,394.80,
2009-12,377.32,
2010-01,366.89,
2010-02,355.08,
2010-03,357.84,
2010-04,357.59,
2010-05,338.57,
2010-06,347.83,
2010-07,374.07,
2010-08,366.71,
2010-09,392.06,
2010-10,397.10,
2010-11,369.42,
2010-12,373.13,
2011-01,384.36,
2011-02,400.76,
2011-03,394.85,
2011-04,401.21,
2011-05,392.71,
2011-06,397.18,
2011-07,399.02,
2011-08,403.53,
2011-09,390.34,
2011-10,407.63,
2011-11,385.43,
2011-12,377.33,
2012-01,383.34,
2012-02,396.02,
2012-03,389.87,
2012-04,388.42,
2012-05,365.69,
2012-06,370.12,
2012-07,370.04,
2012-08,380.11,
2012-09,390.59,
2012-10,388.04,
2012-11,388.72,
2012-12,403.56,
2013-01,407.06,
2013-02,392.08,
2013-03,386.31,
2013-04,395.89,
2013-05,396.35,
2013-06,396.88,
2013-07,404.13,
2013-08,406.73,
2013-09,412.13,
2013-10,411.92,
2013-11,402.34,
2013-12,415.87,
2014-01,414.66,
2014-02,413.21,
2014-03,413.90,
2014-04,416.05,
2014-05,410.82,
2014-06,410.76,
2014-07,405.73,
2014-08,400.02,
2014-09,387.15,
2014-10,386.46,
2014-11,386.48,
2014-12,383.18,
2015-01,353.34,
"","Source: Banque Centrale de Mauritanie, Nouakchott.",
"",Comment on 2000-06: Exchange rate as of 27 June 2000.,
"",Comment on 2000-09: Exchange rate as of 27 September 2000.,
"",Comment on 2001-11: Exchange rate as of 27 November 2001.,
