"",BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / General government / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:59,
1991-01,280.201,
1991-02,79.189,
1991-03,139.874,
1991-04,134.929,
1991-05,199.031,
1991-06,404.210,
1991-07,303.120,
1991-08,128.320,
1991-09,155.705,
1991-10,80.731,
1991-11,141.397,
1991-12,341.703,
1992-01,341.106,
1992-02,-88.944,
1992-03,225.418,
1992-04,253.389,
1992-05,314.819,
1992-06,384.331,
1992-07,427.624,
1992-08,183.102,
1992-09,283.617,
1992-10,107.656,
1992-11,339.761,
1992-12,381.140,
1993-01,514.070,
1993-02,176.639,
1993-03,290.602,
1993-04,174.451,
1993-05,256.327,
1993-06,255.721,
1993-07,166.497,
1993-08,164.960,
1993-09,221.367,
1993-10,128.800,
1993-11,370.915,
1993-12,357.619,
1994-01,458.544,
1994-02,147.878,
1994-03,251.774,
1994-04,194.501,
1994-05,344.481,
1994-06,278.669,
1994-07,218.318,
1994-08,179.300,
1994-09,195.434,
1994-10,329.899,
1994-11,353.248,
1994-12,329.510,
1995-01,605.706,
1995-02,209.952,
1995-03,266.122,
1995-04,238.047,
1995-05,366.283,
1995-06,307.214,
1995-07,297.229,
1995-08,194.831,
1995-09,385.597,
1995-10,275.889,
1995-11,402.429,
1995-12,252.893,
1996-01,377.354,
1996-02,230.258,
1996-03,275.885,
1996-04,287.517,
1996-05,295.392,
1996-06,426.822,
1996-07,627.283,
1996-08,218.878,
1996-09,412.043,
1996-10,293.600,
1996-11,387.949,
1996-12,507.020,
1997-01,494.089,
1997-02,401.571,
1997-03,276.750,
1997-04,260.573,
1997-05,525.034,
1997-06,511.100,
1997-07,407.975,
1997-08,467.449,
1997-09,327.280,
1997-10,151.393,
1997-11,392.949,
1997-12,406.549,
1998-01,170.802,
1998-02,258.736,
1998-03,345.050,
1998-04,380.083,
1998-05,748.215,
1998-06,918.962,
1998-07,530.617,
1998-08,216.774,
1998-09,464.005,
1998-10,230.447,
1998-11,219.869,
1998-12,302.508,
1999-01,357.834,
1999-02,294.725,
1999-03,417.186,
1999-04,662.643,
1999-05,919.716,
1999-06,590.235,
1999-07,760.182,
1999-08,257.238,
1999-09,351.602,
1999-10,335.625,
1999-11,230.643,
1999-12,801.181,
2000-01,178.184,
2000-02,266.365,
2000-03,759.298,
2000-04,618.399,
2000-05,1058.267,
2000-06,517.978,
2000-07,473.899,
2000-08,400.166,
2000-09,439.071,
2000-10,19.074,
2000-11,390.886,
2000-12,632.734,
2001-01,446.881,
2001-02,284.081,
2001-03,333.052,
2001-04,975.186,
2001-05,798.550,
2001-06,483.054,
2001-07,763.599,
2001-08,296.885,
2001-09,690.260,
2001-10,201.909,
2001-11,167.627,
2001-12,497.945,
2002-01,624.695,
2002-02,145.510,
2002-03,295.205,
2002-04,480.914,
2002-05,848.042,
2002-06,917.558,
2002-07,450.815,
2002-08,680.677,
2002-09,505.402,
2002-10,311.051,
2002-11,170.100,
2002-12,1040.863,
2003-01,221.390,
2003-02,144.816,
2003-03,360.918,
2003-04,573.651,
2003-05,838.541,
2003-06,928.006,
2003-07,429.102,
2003-08,143.196,
2003-09,549.354,
2003-10,228.065,
2003-11,123.106,
2003-12,746.341,
2004-01,401.749,
2004-02,184.468,
2004-03,357.495,
2004-04,892.511,
2004-05,827.273,
2004-06,800.635,
2004-07,450.619,
2004-08,467.734,
2004-09,524.786,
2004-10,231.597,
2004-11,339.933,
2004-12,642.332,
2005-01,354.684,
2005-02,196.443,
2005-03,570.718,
2005-04,1114.323,
2005-05,1384.749,
2005-06,556.456,
2005-07,510.986,
2005-08,499.912,
2005-09,543.912,
2005-10,182.816,
2005-11,349.505,
2005-12,657.447,
2006-01,579.345,
2006-02,445.236,
2006-03,581.614,
2006-04,672.964,
2006-05,2182.930,
2006-06,1012.057,
2006-07,336.597,
2006-08,624.719,
2006-09,549.789,
2006-10,204.951,
2006-11,569.950,
2006-12,671.174,
2007-01,590.777,
2007-02,164.656,
2007-03,359.617,
2007-04,1476.416,
2007-05,3435.649,
2007-06,769.688,
2007-07,289.634,
2007-08,567.911,
2007-09,533.769,
2007-10,292.629,
2007-11,206.986,
2007-12,649.446,
2008-01,1093.754,
2008-02,217.412,
2008-03,649.442,
2008-04,2034.040,
2008-05,2666.180,
2008-06,860.766,
2008-07,406.531,
2008-08,300.841,
2008-09,462.694,
2008-10,158.795,
2008-11,67.896,
2008-12,582.069,
2009-01,539.836,
2009-02,341.140,
2009-03,470.889,
2009-04,1767.256,
2009-05,2209.006,
2009-06,470.020,
2009-07,373.568,
2009-08,198.599,
2009-09,387.108,
2009-10,61.001,
2009-11,47.375,
2009-12,474.611,
2010-01,595.524,
2010-02,139.510,
2010-03,323.477,
2010-04,1322.439,
2010-05,2197.068,
2010-06,659.247,
2010-07,406.813,
2010-08,259.260,
2010-09,539.285,
2010-10,123.359,
2010-11,162.092,
2010-12,643.380,
2011-01,674.516,
2011-02,142.010,
2011-03,432.452,
2011-04,1743.908,
2011-05,3466.376,
2011-06,792.297,
2011-07,530.028,
2011-08,373.111,
2011-09,678.014,
2011-10,241.751,
2011-11,416.940,
2011-12,758.514,
2012-01,478.121,
2012-02,305.910,
2012-03,519.215,
2012-04,1622.562,
2012-05,2333.184,
2012-06,1018.451,
2012-07,638.445,
2012-08,343.149,
2012-09,684.605,
2012-10,248.283,
2012-11,46.798,
2012-12,589.886,
2013-01,788.379,
2013-02,361.581,
2013-03,721.585,
2013-04,1775.377,
2013-05,1641.008,
2013-06,1060.148,
2013-07,780.632,
2013-08,395.619,
2013-09,1194.900,
2013-10,470.159,
2013-11,415.108,
2013-12,1136.837,
2014-01,810.425,
2014-02,528.025,Provisional value
2014-03,599.221,Provisional value
2014-04,1191.028,Provisional value
2014-05,2919.916,Provisional value
2014-06,1802.505,Provisional value
2014-07,548.470,Provisional value
2014-08,654.890,Provisional value
2014-09,758.232,
2014-10,392.692,
2014-11,301.322,
2014-12,990.993,Provisional value
