"",BBK01.OEHL08V,BBK01.OEHL08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:21,
2002-01,14.546,
2002-04,14.286,
2002-07,14.251,
2002-10,14.703,
2003-01,14.886,
2003-04,15.009,
2003-07,15.099,
2003-10,15.429,
2004-01,15.500,
2004-04,15.578,
2004-07,15.481,
2004-10,15.637,
2005-01,15.485,
2005-04,15.280,
2005-07,15.239,
2005-10,15.499,
2006-01,15.460,
2006-04,15.166,
2006-07,14.834,
2006-10,14.801,
2007-01,14.548,
2007-04,14.266,
2007-07,13.834,
2007-10,13.847,
2008-01,13.673,
2008-04,13.442,
2008-07,13.224,
2008-10,13.516,
2009-01,13.719,
2009-04,13.647,
2009-07,13.745,
2009-10,13.987,
2010-01,14.046,
2010-04,14.119,
2010-07,14.329,
2010-10,14.864,
2011-01,14.853,
2011-04,14.758,
2011-07,14.884,
2011-10,15.151,
2012-01,15.264,
2012-04,15.386,
2012-07,15.563,
2012-10,15.915,
2013-01,16.116,
2013-04,16.165,
2013-07,16.183,
2013-10,16.336,
2014-01,16.411,
2014-04,16.397,
2014-07,16.413,
