"",BBK01.OEXB04I,BBK01.OEXB04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:09,
2002-01,15.699,
2002-04,15.770,
2002-07,15.739,
2002-10,15.633,
2003-01,15.718,
2003-04,15.777,
2003-07,12.994,
2003-10,12.560,
2004-01,12.714,
2004-04,12.943,
2004-07,13.272,
2004-10,13.578,
2005-01,14.154,
2005-04,14.616,
2005-07,14.375,
2005-10,14.882,
2006-01,15.560,
2006-04,15.704,
2006-07,14.967,
2006-10,17.609,
2007-01,19.186,
2007-04,20.101,
2007-07,21.088,
2007-10,21.823,
2008-01,23.283,
2008-04,26.081,
2008-07,27.577,
2008-10,29.783,
2009-01,30.673,
2009-04,31.353,
2009-07,31.631,
2009-10,32.130,
2010-01,32.245,
2010-04,32.276,
2010-07,32.024,
2010-10,32.468,
2011-01,32.341,
2011-04,32.267,
2011-07,32.405,
2011-10,34.648,
2012-01,34.892,
2012-04,32.800,
2012-07,32.890,
2012-10,32.805,
2013-01,32.512,
2013-04,32.431,
2013-07,32.717,
2013-10,33.300,
2014-01,33.282,
2014-04,33.400,
2014-07,33.686,
