"",BBFN1.M.DE.N.1.L.W1.S1P.F0.S.B000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.S.B000.Z06.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:42,
1968-12,0.482,
1969-01,0.514,
1969-02,0.438,
1969-03,0.426,
1969-04,0.419,
1969-05,0.678,
1969-06,0.660,
1969-07,0.695,
1969-08,0.739,
1969-09,0.784,
1969-10,0.802,
1969-11,0.715,
1969-12,0.682,
1970-01,0.598,
1970-02,0.606,
1970-03,0.720,
1970-04,0.819,
1970-05,0.984,
1970-06,1.102,
1970-07,1.198,
1970-08,1.308,
1970-09,1.343,
1970-10,1.459,
1970-11,1.557,
1970-12,1.617,
1971-01,1.578,
1971-02,1.490,
1971-03,1.790,
1971-04,2.060,
1971-05,2.112,
1971-06,2.259,
1971-07,2.118,
1971-08,2.016,
1971-09,1.794,
1971-10,1.525,
1971-11,1.557,
1971-12,1.374,
1972-01,1.574,
1972-02,1.414,
1972-03,1.286,
1972-04,1.099,
1972-05,1.101,
1972-06,1.047,
1972-07,1.025,
1972-08,1.035,
1972-09,1.042,
1972-10,0.944,
1972-11,0.858,
1972-12,0.644,
1973-01,0.583,
1973-02,0.524,
1973-03,0.578,
1973-04,0.620,
1973-05,0.632,
1973-06,0.585,
1973-07,0.557,
1973-08,0.576,
1973-09,0.561,
1973-10,0.606,
1973-11,0.628,
1973-12,0.553,
1974-01,0.533,
1974-02,0.515,
1974-03,0.508,
1974-04,0.569,
1974-05,0.556,
1974-06,0.534,
1974-07,0.534,
1974-08,0.540,
1974-09,0.492,
1974-10,0.557,
1974-11,0.639,
1974-12,0.631,
1975-01,0.592,
1975-02,0.579,
1975-03,0.608,
1975-04,0.593,
1975-05,0.678,
1975-06,0.697,
1975-07,0.720,
1975-08,0.726,
1975-09,0.742,
1975-10,0.793,
1975-11,0.786,
1975-12,0.886,
1976-01,0.753,
1976-02,0.800,
1976-03,0.874,
1976-04,0.931,
1976-05,0.916,
1976-06,0.977,
1976-07,0.880,
1976-08,0.979,
1976-09,0.887,
1976-10,1.247,
1976-11,1.216,
1976-12,1.052,
1977-01,1.079,
1977-02,1.044,
1977-03,1.148,
1977-04,1.059,
1977-05,1.084,
1977-06,1.128,
1977-07,1.170,
1977-08,1.193,
1977-09,1.058,
1977-10,0.975,
1977-11,1.076,
1977-12,1.076,
1978-01,1.097,
1978-02,1.148,
1978-03,1.236,
1978-04,1.327,
1978-05,1.447,
1978-06,1.499,
1978-07,1.493,
1978-08,1.624,
1978-09,1.588,
1978-10,1.667,
1978-11,1.770,
1978-12,1.610,
1979-01,1.542,
1979-02,1.573,
1979-03,1.702,
1979-04,1.682,
1979-05,1.775,
1979-06,1.817,
1979-07,2.127,
1979-08,2.237,
1979-09,2.256,
1979-10,2.516,
1979-11,2.526,
1979-12,2.099,
1980-01,2.277,
1980-02,2.335,
1980-03,2.484,
1980-04,2.457,
1980-05,2.743,
1980-06,2.836,
1980-07,3.087,
1980-08,3.096,
1980-09,3.039,
1980-10,3.214,
1980-11,3.294,
1980-12,3.386,
1981-01,3.407,
1981-02,3.865,
1981-03,4.173,
1981-04,4.412,
1981-05,4.668,
1981-06,4.907,
1981-07,5.158,
1981-08,5.346,
1981-09,5.357,
1981-10,5.282,
1981-11,5.164,
1981-12,5.207,
1982-01,5.441,
