"",BBK01.OEXL01U,BBK01.OEXL01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:52,
2002-01,1.232,
2002-04,1.196,
2002-07,1.158,
2002-10,1.195,
2003-01,1.176,
2003-04,1.160,
2003-07,1.154,
2003-10,1.176,
2004-01,1.181,
2004-04,1.100,
2004-07,1.085,
2004-10,0.962,
2005-01,0.997,
2005-04,0.987,
2005-07,0.958,
2005-10,0.997,
2006-01,1.017,
2006-04,1.022,
2006-07,1.009,
2006-10,1.205,
2007-01,1.312,
2007-04,1.346,
2007-07,1.377,
2007-10,1.513,
2008-01,1.519,
2008-04,1.560,
2008-07,1.593,
2008-10,1.762,
2009-01,1.723,
2009-04,1.670,
2009-07,1.732,
2009-10,1.725,
2010-01,1.701,
2010-04,1.732,
2010-07,1.712,
2010-10,1.823,
2011-01,1.885,
2011-04,1.942,
2011-07,1.961,
2011-10,1.984,
2012-01,1.980,
2012-04,1.940,
2012-07,1.837,
2012-10,1.831,
2013-01,1.728,
2013-04,1.704,
2013-07,1.680,
2013-10,1.683,
2014-01,1.686,
2014-04,1.681,
2014-07,1.728,
