"",BBK01.OEAC09R,BBK01.OEAC09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:30,
2002-01,5.562,
2002-04,5.604,
2002-07,5.686,
2002-10,5.739,
2003-01,5.475,
2003-04,5.517,
2003-07,5.542,
2003-10,5.554,
2004-01,5.553,
2004-04,5.527,
2004-07,5.560,
2004-10,5.527,
2005-01,5.524,
2005-04,5.486,
2005-07,5.510,
2005-10,5.495,
2006-01,5.422,
2006-04,5.476,
2006-07,5.494,
2006-10,5.547,
2007-01,5.545,
2007-04,5.412,
2007-07,5.348,
2007-10,5.444,
2008-01,5.748,
2008-04,5.755,
2008-07,5.737,
2008-10,5.799,
2009-01,5.684,
2009-04,5.820,
2009-07,5.843,
2009-10,6.233,
2010-01,6.056,
2010-04,6.135,
2010-07,6.196,
2010-10,6.244,
2011-01,6.299,
2011-04,6.336,
2011-07,6.318,
2011-10,6.397,
2012-01,6.458,
2012-04,6.842,
2012-07,6.864,
2012-10,6.983,
2013-01,7.013,
2013-04,7.091,
2013-07,7.054,
2013-10,7.141,
2014-01,7.222,
2014-04,7.278,
2014-07,7.246,
