"",BBEX3.M.USD.GBP.CA.AA.A02,BBEX3.M.USD.GBP.CA.AA.A02_FLAGS
"",Exchange rates (closing) for the pound sterling in the United States / GBP 1 = USD ... (buying),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:52,
1983-01,1.5676,
1983-02,1.5313,
1983-03,1.4902,
1983-04,1.5372,
1983-05,1.5731,
1983-06,1.5475,
1983-07,1.5278,
1983-08,1.5025,
1983-09,1.4983,
1983-10,1.4980,
1983-11,1.4775,
1983-12,1.4350,
1984-01,1.4065,
1984-02,1.4414,
1984-03,1.4556,
1984-04,1.4213,
1984-05,1.3889,
1984-06,1.3764,
1984-07,1.3182,
1984-08,1.3147,
1984-09,1.2557,
1984-10,1.2216,
1984-11,1.2415,
1984-12,1.1850,
1985-01,1.1261,
1985-02,1.0933,
1985-03,1.1304,
1985-04,1.2390,
1985-05,1.2483,
1985-06,1.2813,
1985-07,1.3816,
1985-08,1.3845,
1985-09,1.3628,
1985-10,1.4225,
1985-11,1.4397,
1985-12,1.4451,
1986-01,1.4257,
1986-02,1.4306,
1986-03,1.4688,
1986-04,1.5002,
1986-05,1.5202,
1986-06,1.5099,
1986-07,1.5065,
1986-08,1.4856,
1986-09,1.4682,
1986-10,1.4274,
1986-11,1.4246,
1986-12,1.4402,
1987-01,1.5060,
1987-02,1.5282,
1987-03,1.5924,
1987-04,1.6314,
1987-05,1.6664,
1987-06,1.6280,
1987-07,1.6091,
1987-08,1.5994,
1987-09,1.6446,
1987-10,1.6638,
1987-11,1.7766,
1987-12,1.8291,
1988-01,1.7994,
1988-02,1.7576,
1988-03,1.8338,
1988-04,1.8767,
1988-05,1.8684,
1988-06,1.7768,
1988-07,1.7051,
1988-08,1.6963,
1988-09,1.6844,
1988-10,1.7374,
1988-11,1.8097,
1988-12,1.8251,
1989-01,1.7740,
1989-02,1.7528,
1989-03,1.7131,
1989-04,1.7005,
1989-05,1.6308,
1989-06,1.5542,
1989-07,1.6277,
1989-08,1.5924,
1989-09,1.5729,
1989-10,1.5865,
1989-11,1.5734,
1989-12,1.5975,
1990-01,1.6515,
1990-02,1.6955,
1990-03,1.6244,
1990-04,1.6379,
1990-05,1.6769,
1990-06,1.7110,
1990-07,1.8114,
1990-08,1.9007,
1990-09,1.8808,
1990-10,1.9479,
1990-11,1.9632,
1990-12,1.9227,
1991-01,1.9348,
1991-02,1.9641,
1991-03,1.8254,
1991-04,1.7510,
1991-05,1.7256,
1991-06,1.6490,
1991-07,1.6503,
1991-08,1.6837,
1991-09,1.7274,
1991-10,1.7215,
1991-11,1.7784,
1991-12,1.8283,
1992-01,1.8084,
1992-02,1.7780,
1992-03,1.7252,
1992-04,1.7572,
1992-05,1.8096,
1992-06,1.8553,
1992-07,1.9195,
