"",BBK01.OEAC51N,BBK01.OEAC51N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:06,
2002-01,3.740,
2002-04,3.747,
2002-07,3.781,
2002-10,3.384,
2003-01,3.760,
2003-04,3.759,
2003-07,3.811,
2003-10,3.691,
2004-01,3.680,
2004-04,3.716,
2004-07,3.775,
2004-10,3.723,
2005-01,3.766,
2005-04,3.802,
2005-07,3.865,
2005-10,3.917,
2006-01,4.035,
2006-04,4.098,
2006-07,4.168,
2006-10,4.205,
2007-01,4.163,
2007-04,4.202,
2007-07,4.277,
2007-10,4.380,
2008-01,4.394,
2008-04,4.394,
2008-07,4.487,
2008-10,4.522,
2009-01,4.226,
2009-04,4.325,
2009-07,4.472,
2009-10,4.625,
2010-01,4.927,
2010-04,5.247,
2010-07,5.327,
2010-10,5.450,
2011-01,5.520,
2011-04,5.640,
2011-07,5.777,
2011-10,5.897,
2012-01,5.931,
2012-04,6.091,
2012-07,6.212,
2012-10,6.291,
2013-01,6.268,
2013-04,6.350,
2013-07,6.559,
2013-10,6.580,
2014-01,6.618,
2014-04,6.713,
2014-07,6.847,
