"",BBFB1.M.Y.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Services / Balance (Credits minus Debits) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:16,
1991-01,-2.38,
1991-02,-2.58,
1991-03,-1.61,
1991-04,-2.16,
1991-05,-2.39,
1991-06,-1.41,
1991-07,-2.12,
1991-08,-2.25,
1991-09,-1.50,
1991-10,-2.34,
1991-11,-2.79,
1991-12,-1.52,
1992-01,-3.07,
1992-02,-2.81,
1992-03,-2.09,
1992-04,-2.77,
1992-05,-2.98,
1992-06,-2.03,
1992-07,-3.10,
1992-08,-2.90,
1992-09,-2.11,
1992-10,-3.10,
1992-11,-2.79,
1992-12,-2.30,
1993-01,-3.08,
1993-02,-3.03,
1993-03,-2.14,
1993-04,-3.26,
1993-05,-3.00,
1993-06,-2.51,
1993-07,-3.15,
1993-08,-3.03,
1993-09,-2.25,
1993-10,-3.12,
1993-11,-3.13,
1993-12,-2.47,
1994-01,-2.66,
1994-02,-3.48,
1994-03,-2.98,
1994-04,-3.60,
1994-05,-3.45,
1994-06,-2.93,
1994-07,-3.54,
1994-08,-3.53,
1994-09,-2.96,
1994-10,-3.53,
1994-11,-3.48,
1994-12,-3.12,
1995-01,-3.30,
1995-02,-3.51,
1995-03,-3.58,
1995-04,-3.65,
1995-05,-3.45,
1995-06,-3.16,
1995-07,-3.46,
1995-08,-3.44,
1995-09,-3.18,
1995-10,-3.22,
1995-11,-3.51,
1995-12,-3.02,
1996-01,-3.48,
1996-02,-3.55,
1996-03,-3.56,
1996-04,-3.51,
1996-05,-3.66,
1996-06,-3.56,
1996-07,-3.74,
1996-08,-3.64,
1996-09,-3.49,
1996-10,-3.51,
1996-11,-3.88,
1996-12,-3.50,
1997-01,-4.15,
1997-02,-3.87,
1997-03,-3.22,
1997-04,-3.96,
1997-05,-4.36,
1997-06,-3.06,
1997-07,-3.46,
