"",BBK01.OEHL05K,BBK01.OEHL05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:55,
2002-01,0.015,
2002-04,0.014,
2002-07,0.012,
2002-10,0.012,
2003-01,0.011,
2003-04,0.021,
2003-07,0.026,
2003-10,0.025,
2004-01,0.024,
2004-04,0.051,
2004-07,0.049,
2004-10,0.050,
2005-01,0.066,
2005-04,0.074,
2005-07,0.080,
2005-10,0.080,
2006-01,0.081,
2006-04,0.129,
2006-07,0.124,
2006-10,0.119,
2007-01,0.114,
2007-04,0.106,
2007-07,0.099,
2007-10,0.097,
2008-01,0.114,
2008-04,0.118,
2008-07,0.122,
2008-10,0.127,
2009-01,0.125,
2009-04,0.125,
2009-07,0.124,
2009-10,0.121,
2010-01,0.123,
2010-04,0.122,
2010-07,0.120,
2010-10,0.120,
2011-01,0.134,
2011-04,0.129,
2011-07,0.083,
2011-10,0.079,
2012-01,0.069,
2012-04,0.024,
2012-07,0.022,
2012-10,0.022,
2013-01,0.023,
2013-04,0.023,
2013-07,0.002,
2013-10,0.002,
2014-01,0.001,
2014-04,0.001,
2014-07,-,Nothing exists
