"",BBFB1.M.N.DE.W1.S1.S1.T.C.SA._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Manufacturing services / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:14,
1991-01,68.834,
1991-02,44.105,
1991-03,43.097,
1991-04,53.286,
1991-05,50.305,
1991-06,70.961,
1991-07,52.179,
1991-08,50.819,
1991-09,45.101,
1991-10,53.690,
1991-11,51.246,
1991-12,64.533,
1992-01,49.972,
1992-02,52.964,
1992-03,54.117,
1992-04,60.007,
1992-05,60.698,
1992-06,73.858,
1992-07,58.822,
1992-08,73.249,
1992-09,61.033,
1992-10,82.373,
1992-11,66.139,
1992-12,65.660,
1993-01,54.321,
1993-02,56.472,
1993-03,61.328,
1993-04,64.375,
1993-05,68.513,
1993-06,57.590,
1993-07,69.292,
1993-08,70.726,
1993-09,60.027,
1993-10,65.603,
1993-11,80.722,
1993-12,63.310,
1994-01,92.567,
1994-02,61.331,
1994-03,54.458,
1994-04,64.136,
1994-05,58.492,
1994-06,63.508,
1994-07,11.062,
1994-08,59.689,
1994-09,54.941,
1994-10,57.494,
1994-11,110.439,
1994-12,87.188,
1995-01,47.106,
1995-02,78.164,
1995-03,72.769,
1995-04,76.658,
1995-05,79.530,
1995-06,12.691,
1995-07,76.177,
1995-08,78.947,
1995-09,65.888,
1995-10,70.772,
1995-11,87.394,
1995-12,62.118,
1996-01,57.098,
1996-02,71.547,
1996-03,61.847,
1996-04,81.999,
1996-05,120.993,
1996-06,42.336,
1996-07,79.843,
1996-08,83.451,
1996-09,64.792,
1996-10,78.842,
1996-11,80.663,
1996-12,97.894,
1997-01,83.416,
1997-02,103.035,
1997-03,82.369,
1997-04,96.987,
1997-05,94.148,
1997-06,108.323,
1997-07,92.040,
1997-08,86.619,
1997-09,99.401,
1997-10,109.857,
1997-11,108.256,
1997-12,116.520,
1998-01,109.338,
1998-02,125.915,
1998-03,135.730,
1998-04,161.328,
1998-05,131.735,
1998-06,172.177,
1998-07,142.178,
1998-08,129.108,
1998-09,106.244,
1998-10,130.452,
1998-11,130.655,
1998-12,141.135,
1999-01,119.636,
1999-02,146.069,
1999-03,140.553,
1999-04,147.861,
1999-05,159.466,
1999-06,170.603,
1999-07,180.716,
1999-08,112.462,
1999-09,128.162,
1999-10,147.175,
1999-11,179.100,
1999-12,146.782,
2000-01,131.828,
2000-02,152.939,
2000-03,161.475,
2000-04,152.033,
2000-05,222.874,
2000-06,179.038,
2000-07,163.093,
2000-08,168.407,
2000-09,181.413,
2000-10,215.443,
2000-11,234.271,
2000-12,181.304,
2001-01,178.235,
2001-02,201.086,
2001-03,196.107,
2001-04,213.175,
2001-05,182.214,
2001-06,189.887,
2001-07,209.917,
2001-08,225.174,
2001-09,200.613,
2001-10,205.387,
2001-11,215.769,
2001-12,160.043,
2002-01,204.259,
2002-02,333.043,
2002-03,230.920,
2002-04,277.979,
2002-05,116.349,
2002-06,229.832,
2002-07,198.843,
2002-08,283.381,
2002-09,248.482,
2002-10,270.274,
2002-11,214.320,
2002-12,283.020,
2003-01,249.736,
2003-02,200.971,
2003-03,234.315,
2003-04,226.856,
2003-05,218.303,
2003-06,252.695,
2003-07,220.365,
2003-08,201.684,
2003-09,267.436,
2003-10,216.377,
2003-11,221.429,
2003-12,210.708,
2004-01,227.168,
2004-02,212.445,
2004-03,272.203,
2004-04,285.387,
2004-05,276.706,
2004-06,260.806,
2004-07,240.736,
2004-08,259.380,
2004-09,269.392,
2004-10,261.147,
2004-11,268.052,
2004-12,266.515,
2005-01,250.810,
2005-02,230.109,
2005-03,347.560,
2005-04,282.960,
2005-05,280.002,
2005-06,308.367,
2005-07,249.402,
2005-08,333.269,
2005-09,312.672,
2005-10,294.252,
2005-11,295.469,
2005-12,297.588,
2006-01,262.696,
2006-02,298.869,
2006-03,356.477,
2006-04,270.904,
2006-05,307.465,
2006-06,317.759,
2006-07,310.488,
2006-08,303.937,
2006-09,333.051,
2006-10,342.334,
2006-11,386.889,
2006-12,339.991,
2007-01,277.810,
2007-02,295.193,
2007-03,308.631,
2007-04,285.229,
2007-05,311.855,
2007-06,316.843,
2007-07,309.339,
2007-08,261.013,
2007-09,259.035,
2007-10,353.021,
2007-11,317.337,
2007-12,284.330,
2008-01,298.714,
2008-02,336.967,
2008-03,267.181,
2008-04,334.316,
2008-05,265.377,
2008-06,299.238,
2008-07,322.152,
2008-08,291.647,
2008-09,322.475,
2008-10,303.700,
2008-11,304.096,
2008-12,295.412,
2009-01,202.166,
2009-02,214.856,
2009-03,351.066,
2009-04,293.264,
2009-05,305.732,
2009-06,332.506,
2009-07,300.150,
2009-08,314.972,
2009-09,305.409,
2009-10,320.235,
2009-11,321.615,
2009-12,322.288,
2010-01,296.056,
2010-02,320.440,
2010-03,372.326,
2010-04,301.780,
2010-05,340.680,
2010-06,422.834,
2010-07,360.239,
2010-08,284.995,
2010-09,327.927,
2010-10,341.675,
2010-11,307.565,
2010-12,357.485,
2011-01,323.246,
2011-02,329.421,
2011-03,357.050,
2011-04,314.187,
2011-05,355.435,
2011-06,317.492,
2011-07,369.216,
2011-08,335.258,
2011-09,411.459,
2011-10,307.029,
2011-11,422.959,
2011-12,282.387,
2012-01,332.860,
2012-02,331.591,
2012-03,355.061,
2012-04,246.893,
2012-05,351.168,
2012-06,358.733,
2012-07,320.046,
2012-08,237.535,
2012-09,388.570,
2012-10,388.187,
2012-11,344.221,
2012-12,224.366,
2013-01,250.281,
2013-02,238.189,
2013-03,334.169,
2013-04,271.557,
2013-05,277.124,
2013-06,315.537,
2013-07,244.445,
2013-08,223.395,
2013-09,194.541,
2013-10,263.482,
2013-11,254.902,
2013-12,237.359,
2014-01,241.993,
2014-02,259.902,Provisional value
2014-03,288.593,Provisional value
2014-04,271.884,Provisional value
2014-05,298.486,Provisional value
2014-06,295.917,Provisional value
2014-07,272.631,Provisional value
2014-08,271.553,Provisional value
2014-09,307.513,
2014-10,302.808,
2014-11,281.321,
2014-12,300.930,Provisional value
