"",BBK01.OECB13Q,BBK01.OECB13Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:30,
2002-01,1.186,
2002-04,1.186,
2002-07,1.182,
2002-10,1.170,
2003-01,1.142,
2003-04,1.120,
2003-07,1.105,
2003-10,1.092,
2004-01,1.102,
2004-04,1.067,
2004-07,1.034,
2004-10,1.773,
2005-01,1.777,
2005-04,1.714,
2005-07,1.688,
2005-10,1.636,
2006-01,1.617,
2006-04,1.557,
2006-07,1.509,
2006-10,1.486,
2007-01,1.452,
2007-04,1.435,
2007-07,1.395,
2007-10,1.364,
2008-01,1.322,
2008-04,1.312,
2008-07,1.262,
2008-10,1.211,
2009-01,1.174,
2009-04,1.441,
2009-07,1.412,
2009-10,1.427,
2010-01,1.406,
2010-04,1.376,
2010-07,1.537,
2010-10,1.532,
2011-01,1.371,
2011-04,1.364,
2011-07,1.323,
2011-10,1.298,
2012-01,1.302,
2012-04,1.302,
2012-07,1.297,
2012-10,1.300,
2013-01,1.312,
2013-04,1.261,
2013-07,1.270,
2013-10,1.247,
2014-01,1.251,
2014-04,1.249,
2014-07,1.263,
