"",BBK01.OEBB13V,BBK01.OEBB13V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:14,
2002-01,3.090,
2002-04,3.074,
2002-07,3.044,
2002-10,2.973,
2003-01,2.899,
2003-04,2.768,
2003-07,2.731,
2003-10,2.648,
2004-01,2.643,
2004-04,2.590,
2004-07,2.543,
2004-10,2.461,
2005-01,2.498,
2005-04,2.480,
2005-07,2.328,
2005-10,2.307,
2006-01,2.301,
2006-04,2.301,
2006-07,2.295,
2006-10,2.256,
2007-01,2.267,
2007-04,2.262,
2007-07,2.250,
2007-10,2.306,
2008-01,2.256,
2008-04,2.281,
2008-07,2.272,
2008-10,2.307,
2009-01,2.297,
2009-04,3.334,
2009-07,3.306,
2009-10,3.281,
2010-01,3.198,
2010-04,3.197,
2010-07,2.610,
2010-10,2.561,
2011-01,2.629,
2011-04,2.606,
2011-07,2.590,
2011-10,2.567,
2012-01,2.542,
2012-04,2.528,
2012-07,2.494,
2012-10,2.528,
2013-01,2.530,
2013-04,2.543,
2013-07,2.539,
2013-10,2.560,
2014-01,2.554,
2014-04,2.575,
2014-07,2.559,
