"",BBK01.OELJ01V,BBK01.OELJ01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:21,
2002-01,1.055,
2002-04,1.063,
2002-07,1.151,
2002-10,1.151,
2003-01,1.066,
2003-04,1.074,
2003-07,1.098,
2003-10,1.175,
2004-01,1.085,
2004-04,0.854,
2004-07,1.067,
2004-10,1.141,
2005-01,1.039,
2005-04,1.035,
2005-07,1.080,
2005-10,1.195,
2006-01,1.107,
2006-04,1.100,
2006-07,1.134,
2006-10,1.292,
2007-01,1.204,
2007-04,1.211,
2007-07,1.253,
2007-10,1.374,
2008-01,1.316,
2008-04,1.319,
2008-07,1.617,
2008-10,1.673,
2009-01,1.608,
2009-04,1.601,
2009-07,1.719,
2009-10,1.852,
2010-01,1.796,
2010-04,1.726,
2010-07,1.789,
2010-10,1.809,
2011-01,1.723,
2011-04,1.782,
2011-07,1.844,
2011-10,1.886,
2012-01,1.787,
2012-04,1.721,
2012-07,1.832,
2012-10,1.899,
2013-01,1.798,
2013-04,1.756,
2013-07,1.949,
2013-10,1.976,
2014-01,2.078,
2014-04,2.098,
2014-07,2.365,
