"",BBK01.OEBB11U,BBK01.OEBB11U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:03,
2002-01,0.186,
2002-04,0.198,
2002-07,0.189,
2002-10,0.213,
2003-01,0.189,
2003-04,0.198,
2003-07,0.203,
2003-10,0.205,
2004-01,0.232,
2004-04,0.230,
2004-07,0.235,
2004-10,0.238,
2005-01,0.234,
2005-04,0.235,
2005-07,0.252,
2005-10,0.249,
2006-01,0.254,
2006-04,0.265,
2006-07,0.276,
2006-10,0.291,
2007-01,0.293,
2007-04,0.294,
2007-07,0.290,
2007-10,0.245,
2008-01,0.236,
2008-04,0.255,
2008-07,0.247,
2008-10,0.254,
2009-01,0.261,
2009-04,0.255,
2009-07,0.243,
2009-10,0.259,
2010-01,0.295,
2010-04,0.283,
2010-07,0.291,
2010-10,0.288,
2011-01,0.290,
2011-04,0.291,
2011-07,0.291,
2011-10,0.279,
2012-01,0.282,
2012-04,0.273,
2012-07,0.297,
2012-10,0.290,
2013-01,0.288,
2013-04,0.299,
2013-07,0.294,
2013-10,0.276,
2014-01,0.259,
2014-04,0.259,
2014-07,0.239,
