"",BBK01.OEAC29H,BBK01.OEAC29H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:36,
2002-01,11.222,
2002-04,11.104,
2002-07,10.882,
2002-10,11.082,
2003-01,10.569,
2003-04,10.264,
2003-07,10.213,
2003-10,10.372,
2004-01,9.705,
2004-04,9.628,
2004-07,9.427,
2004-10,9.146,
2005-01,9.007,
2005-04,8.797,
2005-07,8.499,
2005-10,8.187,
2006-01,8.043,
2006-04,7.870,
2006-07,7.716,
2006-10,7.521,
2007-01,7.232,
2007-04,7.314,
2007-07,7.125,
2007-10,7.338,
2008-01,7.350,
2008-04,7.317,
2008-07,7.296,
2008-10,7.477,
2009-01,7.333,
2009-04,7.320,
2009-07,7.253,
2009-10,6.670,
2010-01,6.855,
2010-04,6.891,
2010-07,6.690,
2010-10,6.463,
2011-01,6.385,
2011-04,6.443,
2011-07,6.287,
2011-10,6.129,
2012-01,6.170,
2012-04,6.171,
2012-07,6.024,
2012-10,5.995,
2013-01,5.974,
2013-04,5.966,
2013-07,5.825,
2013-10,5.763,
2014-01,5.672,
2014-04,5.704,
2014-07,5.611,
