"",BBK01.OEAC04L,BBK01.OEAC04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:52,
2002-01,7.211,
2002-04,7.112,
2002-07,6.927,
2002-10,7.003,
2003-01,6.772,
2003-04,6.628,
2003-07,6.690,
2003-10,6.252,
2004-01,6.262,
2004-04,6.055,
2004-07,5.794,
2004-10,5.456,
2005-01,5.368,
2005-04,5.187,
2005-07,5.140,
2005-10,4.921,
2006-01,4.901,
2006-04,4.883,
2006-07,4.883,
2006-10,4.484,
2007-01,4.378,
2007-04,4.466,
2007-07,4.579,
2007-10,4.585,
2008-01,4.597,
2008-04,4.510,
2008-07,4.545,
2008-10,6.161,
2009-01,6.742,
2009-04,6.897,
2009-07,6.724,
2009-10,6.543,
2010-01,6.367,
2010-04,6.429,
2010-07,6.689,
2010-10,6.200,
2011-01,5.865,
2011-04,5.511,
2011-07,5.446,
2011-10,5.227,
2012-01,5.257,
2012-04,5.313,
2012-07,5.318,
2012-10,5.106,
2013-01,5.130,
2013-04,4.959,
2013-07,4.890,
2013-10,4.733,
2014-01,4.745,
2014-04,4.706,
2014-07,4.931,
