"",BBEX3.M.CVE.USD.CA.AB.A01,BBEX3.M.CVE.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Cabo Verde / USD 1 = CVE ... (selling),
unit,CVE (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:56,
1981-01,44.720,
1981-02,45.850,
1981-03,46.270,
1981-04,47.550,
1981-05,49.200,
1981-06,50.290,
1981-07,51.860,
1981-08,52.220,
1981-09,50.980,
1981-10,51.520,
1981-11,50.550,
1981-12,51.170,
1982-01,52.360,
1982-02,53.630,
1982-03,54.990,
1982-04,54.500,
1982-05,54.630,
1982-06,61.000,
1982-07,60.990,
1982-08,61.940,
1982-09,62.950,
1982-10,64.230,
1982-11,64.610,
1982-12,63.340,
1983-01,65.210,
1983-02,65.280,
1983-03,68.050,
1983-04,68.610,
1983-05,69.160,
1983-06,72.930,
1983-07,74.690,
1983-08,76.570,
1983-09,76.360,
1983-10,76.430,
1983-11,78.780,
1983-12,80.280,
1984-01,82.320,
1984-02,78.520,
1984-03,78.560,
1984-04,81.200,
1984-05,82.780,
1984-06,84.660,
1984-07,86.760,
1984-08,86.550,
1984-09,89.570,
1984-10,91.070,
1984-11,91.490,
1984-12,93.320,
1985-01,94.330,
1985-02,98.340,
1985-03,94.250,
1985-04,95.120,
1985-05,93.450,
1985-06,93.720,
1985-07,89.870,
1985-08,89.240,
1985-09,89.350,
1985-10,87.650,
1985-11,86.170,
1985-12,85.680,
1986-01,84.310,
1986-02,81.150,
1986-03,82.380,
1986-04,79.900,
1986-05,82.530,
1986-06,81.470,
1986-07,79.040,
1986-08,77.720,
1986-09,77.990,
1986-10,78.470,
1986-11,77.940,
1986-12,76.870,
1987-01,72.350,
1987-02,73.580,
1987-03,72.660,
1987-04,72.290,
1987-05,73.340,
1987-06,73.850,
1987-07,74.830,
1987-08,73.610,
1987-09,73.720,
1987-10,71.840,
1987-11,68.860,
1987-12,66.080,
1988-01,69.260,
1988-02,69.890,
1988-03,68.770,
1988-04,68.730,
1988-05,70.580,
1988-06,74.940,
1988-07,75.790,
1988-08,77.090,
1988-09,77.640,
1988-10,73.810,
1988-11,71.890,
1988-12,73.970,
1989-01,76.550,
1989-02,74.920,
1989-03,76.770,
1989-04,77.290,
1989-05,82.830,
1989-06,81.190,
1989-07,78.050,
1989-08,80.460,
1989-09,79.120,
1989-10,77.920,
1989-11,76.650,
1989-12,73.350,
1990-01,72.710,
1990-02,73.120,
1990-03,74.610,
1990-04,73.520,
1990-05,72.490,
1990-06,72.200,
1990-07,69.800,
1990-08,68.100,
1990-09,68.620,
1990-10,66.070,
1990-11,64.850,
1990-12,66.390,
1991-01,64.900,
1991-02,66.140,
1991-03,73.610,
1991-04,75.760,
1991-05,73.820,
1991-06,77.590,
1991-07,74.800,
1991-08,74.300,
1991-09,72.600,
1991-10,73.600,
1991-11,70.810,
1991-12,66.470,
1992-01,69.070,
1992-02,70.310,
1992-03,71.550,
1992-04,70.410,
1992-05,68.820,
1992-06,65.140,
1992-07,63.400,
1992-08,61.210,
1992-09,63.030,
1992-10,68.250,
1992-11,73.230,
1992-12,75.640,
1993-01,74.500,
1993-02,77.930,
1993-03,78.020,
1993-04,75.590,
1993-05,77.180,
1993-06,81.460,
1993-07,85.790,
1993-08,84.090,
1993-09,82.220,
1993-10,85.410,
1993-11,86.270,
1993-12,86.290,
1994-01,85.970,
1994-02,85.490,
1994-03,84.720,
1994-04,84.020,
1994-05,83.190,
1994-06,79.460,
1994-07,78.820,
1994-08,79.270,
1994-09,79.790,
1994-10,78.270,
1994-11,81.490,
1994-12,81.440,
1995-01,79.860,
1995-02,77.900,
1995-03,76.120,
1995-04,75.050,
1995-05,75.140,
1995-06,75.470,
1995-07,74.610,
1995-08,78.370,
1995-09,76.840,
1995-10,76.990,
1995-11,77.750,
1995-12,77.760,
1996-01,80.990,
1996-02,80.180,
1996-03,81.540,
1996-04,84.430,
1996-05,84.500,
1996-06,84.220,
1996-07,82.320,
1996-08,82.190,
1996-09,84.010,
1996-10,83.160,
1996-11,84.230,
1996-12,85.470,
1997-01,89.200,
1997-02,91.680,
1997-03,92.000,
1997-04,93.520,
1997-05,92.250,
1997-06,93.380,
1997-07,97.370,
1997-08,96.730,
1997-09,94.940,
1997-10,92.730,
1997-11,94.630,
1997-12,96.540,
1998-01,97.320,
1998-02,97.220,
1998-03,98.490,
1998-04,97.130,
1998-05,96.590,
1998-06,97.390,
1998-07,95.880,
1998-08,101.330,
1998-09,94.800,
1998-10,93.400,
1998-11,96.450,
1998-12,94.560,
1999-01,97.045,
1999-02,100.115,
1999-03,102.707,
1999-04,103.574,
1999-05,104.586,
1999-06,105.517,
1999-07,102.958,
1999-08,104.789,
1999-09,103.906,
1999-10,104.141,
1999-11,107.648,
1999-12,107.883,
2000-01,109.697,
2000-02,111.390,
2000-03,112.070,
2000-04,115.245,
2000-05,113.657,
2000-06,112.483,
2000-07,114.330,
2000-08,117.302,
2000-09,117.926,
2000-10,130.100,
2000-11,127.575,
2000-12,118.857,
2001-01,119.993,
2001-02,121.205,
2001-03,124.835,
2001-04,122.305,
2001-05,128.945,
2001-06,129.657,
2001-07,126.104,
2001-08,121.338,
2001-09,119.889,
2001-10,121.752,
2001-11,124.175,
2001-12,125.075,
2002-01,127.693,
2002-02,127.590,
2002-03,126.176,
2002-04,122.102,
2002-05,117.717,
2002-06,112.341,
2002-07,112.216,
2002-08,112.125,
2002-09,112.858,
2002-10,112.330,
2002-11,111.098,
2002-12,106.370,
2003-01,102.692,
2003-02,101.991,
2003-03,102.864,
2003-04,100.744,
2003-05,93.896,
2003-06,96.596,
2003-07,96.655,
2003-08,101.934,
2003-09,96.714,
2003-10,94.474,
2003-11,92.745,
2003-12,88.341,
2004-01,88.539,
2004-02,88.710,
2004-03,90.578,
2004-04,93.340,
2004-05,90.143,
2004-06,90.712,
2004-07,91.790,
2004-08,91.630,
2004-09,89.580,
2004-10,86.849,
2004-11,83.339,
2004-12,81.154,
2005-01,84.692,
2005-02,83.857,
2005-03,85.294,
2005-04,85.544,
2005-05,88.511,
2005-06,91.577,
2005-07,91.229,
2005-08,90.623,
2005-09,91.508,
2005-10,90.944,
2005-11,93.601,
2005-12,93.348,
2006-01,91.365,
2006-02,93.136,
2006-03,91.259,
2006-04,88.924,
2006-05,85.984,
2006-06,88.109,
2006-07,87.171,
2006-08,86.125,
2006-09,86.835,
2006-10,86.808,
2006-11,83.908,
2006-12,83.806,
2007-01,85.103,
2007-02,83.446,
2007-03,82.684,
2007-04,81.202,
2007-05,82.266,
2007-06,81.979,
2007-07,80.828,
2007-08,80.994,
2007-09,77.862,
2007-10,76.637,
2007-11,74.918,
2007-12,75.152,
2008-01,74.554,
2008-02,73.023,
2008-03,69.907,
2008-04,70.657,
2008-05,71.006,
2008-06,70.119,
2008-07,70.834,
2008-08,74.751,
2008-09,76.946,
2008-10,84.692,
2008-11,85.578,
2008-12,78.314,
2009-01,84.202,
2009-02,86.367,
2009-03,83.679,
2009-04,83.219,
2009-05,79.680,
2009-06,78.537,
2009-07,78.565,
2009-08,76.866,
2009-09,75.890,
2009-10,74.665,
2009-11,74.015,
2009-12,77.005,
2010-01,78.867,
2010-02,81.845,
2010-03,81.888,
2010-04,83.282,
2010-05,89.139,
2010-06,90.497,
2010-07,84.472,
2010-08,86.924,
2010-09,81.918,
2010-10,79.675,
2010-11,83.978,
2010-12,83.132,
2011-01,80.528,
2011-02,80.224,
2011-03,78.359,
2011-04,74.635,
2011-05,77.361,
